,ID(n),count(s),n.I_CODE,n.N_Name,Weight,tf_idf_sum
10,39,126,"['GARD:0000029', 'OMIM:214800', 'ORPHA:138', 'ORPHANET:138', 'UMLS:C0265354']","['CHARGE SYNDROME', 'COLOBOMA, HEART ANOMALY, CHOANAL ATRESIA, RETARDATION, GENITAL AND EAR ANOMALIES', 'CHARGE ASSOCIATION', 'HALL-HITTNER SYNDROME']",0.000261021,7.108356464078027e-06
11,55,9,"['GARD:0000044', 'OMIM:245010', 'ORPHA:2342', 'ORPHANET:2342', 'UMLS:C1855627']","['HAIM-MUNK SYNDROME', 'HMS', 'KERATOSIS PALMOPLANTARIS WITH PERIODONTOPATHIA AND ONYCHOGRYPOSIS', 'COCHIN JEWISH DISORDER']",3.06e-05,5.1093517826320056e-08
12,61,6,"['GARD:0000047', 'OMIM:218800']","['CRIGLER NAJJAR SYNDROME, TYPE 1', 'CRIGLER-NAJJAR SYNDROME, TYPE I']",2.59e-05,3.676683950500084e-08
13,63,36,"['GARD:0000048', 'OMIM:220110', 'UMLS:C0268237']","['CYTOCHROME C OXIDASE DEFICIENCY', 'COMPLEX 4 MITOCHONDRIAL RESPIRATORY CHAIN DEFICIENCY', 'DEFICIENCY OF MITOCHONDRIAL RESPIRATORY CHAIN COMPLEX4', 'COX DEFICIENCY', 'COMPLEX IV DEFICIENCY', 'MITOCHONDRIAL COMPLEX IV DEFICIENCY']",7.85e-05,8.334313600664786e-07
14,65,42,"['GARD:0000049', 'OMIM:219150', 'ORPHA:2962', 'ORPHANET:2962', 'UMLS:C0268354']","['DE BARSY SYNDROME', 'CORNEAL CLOUDING, CUTIS LAXA AND INTELLECTUAL DISABILITY', 'PROGEROID SYNDROME OF DE BARSY', 'CUTIS LAXA GROWTH DEFICIENCY SYNDROME', 'PROGEROID SYNDROME, DE BARSY TYPE', 'CUTIS LAXA-CORNEAL CLOUDING-INTELLECTUAL DISABILITY SYNDROME']",7.829999999999999e-05,9.780139611678808e-07
15,69,29,"['GARD:0000059', 'OMIM:133190', 'ORPHA:1955', 'ORPHANET:1955', 'UMLS:C1851481']","['SPINOCEREBELLAR ATAXIA 34', 'SCA34', 'GIROUX BARBEAU SYNDROME', 'ERYTHROKERATODERMIA - ATAXIA', 'ERYTHROKERATODERMIA WITH ATAXIA']",6.56e-05,5.134820217951673e-07
16,75,57,"['GARD:0000062', 'OMIM:272440', 'ORPHA:3255', 'ORPHANET:3255', 'UMLS:C0795940']","['FILIPPI SYNDROME', 'SYNDACTYLY TYPE I WITH MICROCEPHALY AND MENTAL RETARDATION', 'UNUSUAL FACIAL APPEARANCE, MICROCEPHALY, GROWTH AND MENTAL RETARDATION AND SYNDACTYLY', 'TYPE 1 SYNDACTYLY-MICROCEPHALY-INTELLECTUAL DISABILITY SYNDROME']",0.000109935,1.4742721574778008e-06
17,79,78,"['GARD:0000065', 'OMIM:251300', 'ORPHA:2065', 'ORPHANET:2065', 'UMLS:C0795949']","['GALLOWAY-MOWAT SYNDROME', 'GALLOWAY MOWAT SYNDROME', 'GALLOWAY SYNDROME', 'MICROCEPHALY NEPHROSIS SYNDROME', 'NEPHROSIS NEURONAL DYSMIGRATION SYNDROME', 'HIATAL HERNIA-MICROCEPHALY-NEPHROSIS, GALLOWAY TYPE', 'MICROCEPHALY, HIATAL HERNIA, AND NEPHROTIC SYNDROME']",0.000146446,3.017579167444372e-06
18,81,24,"['GARD:0000066', 'OMIM:233500', 'ORPHA:2095', 'ORPHANET:2095', 'UMLS:C0345382']","['GORLIN CHAUDHRY MOSS SYNDROME', 'CRANIOFACIAL DYSOSTOSIS, PATENT DUCTUS ARTERIOSUS, HYPERTRICHOSIS, HYPOPLASIA OF LABIA MAJORA, DENTAL AND EYE ANOMALIES', 'GCM SYNDROME', 'GORLIN-CHAUDHRY-MOSS SYNDROME']",5.4000000000000005e-05,2.955879300617594e-07
19,93,27,"['GARD:0000073', 'ORPHA:101088', 'ORPHANET:101088', 'OMIM:308230', 'OMIM:605258', 'OMIM:606843', 'OMIM:608106', 'OMIM:608184']","['IMMUNODEFICIENCY WITH HYPER IGM TYPE 1', 'X-LINKED HYPER IGM SYNDROME', 'HYPER IGM IMMUNODEFICIENCY, X-LINKED', 'HYPER IGM SYNDROME', 'HYPER IGM SYNDROME 1', 'XHIM', 'HIGM', 'IHIS', 'HIGM1']",7.69e-05,4.1404672873048303e-07
20,97,31,"['GARD:0000079', 'OMIM:156400', 'ORPHA:33067', 'ORPHANET:33067', 'UMLS:C0265295']","['JANSEN TYPE METAPHYSEAL CHONDRODYSPLASIA', 'METAPHYSEAL CHONDRODYSPLASIA MURK JANSEN TYPE', 'MURK JANSEN TYPE METAPHYSEAL CHONDRODYSPLASIA']",7.159999999999999e-05,4.285412716918295e-07
21,99,71,"['GARD:0000080', 'OMIM:243800', 'ORPHA:2315', 'ORPHANET:2315']","['JOHANSON-BLIZZARD SYNDROME', 'JBS', 'NASAL ALAR HYPOPLASIA, HYPOTHYROIDISM, PANCREATIC ACHYLIA AND CONGENITAL DEAFNESS']",0.000152538,2.411181045930723e-06
22,101,70,"['GARD:0000081', 'OMIM:309580', 'ORPHA:93972', 'ORPHANET:93972', 'UMLS:C0796003']","['JUBERG MARSIDI SYNDROME', 'INTELLECTUAL DISABILITY, X-LINKED WITH GROWTH DELAY, DEAFNESS, MICROGENITALISM', 'JUBERG-MARSIDI INTELLECTUAL DISABILITY SYNDROME', 'JMS', 'X-LINKED HYPOGONADISM GYNECOMASTIA INTELLECTUAL DISABILITY', 'X-LINKED INTELLECTUAL DISABILITY-HYPOTONIC FACIES SYNDROME 1', 'JUBERG-MARSIDI SYNDROME', 'INTELLECTUAL DISABILITY, X-LINKED, WITH GROWTH RETARDATION, DEAFNESS, AND MICROGENITALISM', 'SMITH-FINEMAN-MYERS SYNDROME']",0.00012828200000000002,2.1160048152623913e-06
23,103,32,"['GARD:0000082', 'OMIM:148050', 'ORPHA:2332', 'ORPHANET:2332', 'UMLS:C0220687']","['KBG SYNDROME', 'SHORT STATURE, CHARACTERISTIC FACIES, MACRODONTIA, MENTAL RETARDATION, AND SKELETAL ANOMALIES']",6.35e-05,5.332838116586978e-07
24,105,42,"['GARD:0000083', 'OMIM:127000', 'ORPHA:93325', 'ORPHANET:93325', 'UMLS:C0265291']","['KENNY-CAFFEY SYNDROME TYPE 2', 'KCS2', 'DWARFISM, CORTICAL THICKENING OF TUBULAR BONES AND TRANSIENT HYPOCALCEMIA', 'KENNY-CAFFEY SYNDROME, AUTOSOMAL DOMINANT']",9.49e-05,7.29534280832136e-07
25,107,34,"['GARD:0000084', 'OMIM:608594', 'UMLS:C1720862']","['CONGENITAL GENERALIZED LIPODYSTROPHY TYPE 1', 'BERARDINELLI-SEIP CONGENITAL LIPODYSTROPHY TYPE 1', 'BSCL1', 'AGPAT2-RELATED BRUNZELL SYNDROME']",7.91e-05,4.845468341703228e-07
26,111,16,"['GARD:0000086', 'OMIM:604213', 'UMLS:C1858695']","['CHUDLEY-MCCULLOUGH SYNDROME', 'DEAFNESS, SENSORINEURAL, WITH PARTIAL AGENESIS OF THE CORPUS CALLOSUM AND ARACHNOID CYSTS', 'DEAFNESS, BILATERAL SENSORINEURAL, AND HYDROCEPHALUS DUE TO FORAMEN OF MONRO OBSTRUCTION']",4.11e-05,1.4584164899314434e-07
27,113,80,"['GARD:0000087', 'OMIM:309800', 'ORPHA:568', 'ORPHANET:568', 'UMLS:C0796016']","['LENZ MICROPHTHALMIA SYNDROME', 'MICROPHTHALMIA SYNDROMIC 1', 'MCOPS1', 'LENZ DYSPLASIA', 'SYNDROMIC MICROPHTHALMIA TYPE 1', 'MAA (FORMERLY)', 'MICROPHTHALMIA OR ANOPHTHALMOS WITH ASSOCIATED ANOMALIES (FORMERLY)', 'MICROPHTHALMIA LENZ TYPE']",0.000157759,2.901458024646584e-06
28,121,14,"['GARD:0000092', 'OMIM:248300', 'ORPHA:87503', 'ORPHANET:87503', 'UMLS:C0025221']","['MELEDA DISEASE', 'KERATOSIS PALMOPLANTARIS TRANSGRADIENS OF SIEMENS', 'MDM', 'MAL DE MELEDA']",4.09e-05,1.1986221846207766e-07
29,123,23,"['GARD:0000093', 'ORPHA:573', 'ORPHANET:573', 'UMLS:C0546966', 'OMIM:158000', 'OMIM:252200']","['MONILETHRIX', 'NODOSE HAIR']",5.31e-05,3.671506594659301e-07
30,125,42,"['GARD:0000094', 'UMLS:C0238286', 'ORPHA:578', 'ORPHANET:578', 'OMIM:252650']","['MUCOLIPIDOSIS TYPE 4', 'ML 4', 'BERMAN SYNDROME', 'GANGLIOSIDE NEURAMINIDASE DEFICIENCY', 'GANGLIOSIDE SIALIDASE DEFICIENCY', 'MUCOLIPIDOSIS TYPE IV']",9.03e-05,1.0450349415662847e-06
31,127,32,"['GARD:0000095', 'OMIM:253250', 'ORPHA:2576', 'ORPHANET:2576', 'UMLS:C0524582']","['MULIBREY NANISM', 'MUSCLE-LIVER-BRAIN-EYE NANISM', 'PERICARDIAL CONSTRICTION AND GROWTH FAILURE', 'PERHEENTUPA SYNDROME']",6.75e-05,5.527431668628365e-07
32,131,51,"['GARD:0000102', 'ORPHA:2671', 'ORPHANET:2671', 'UMLS:C0265218']","['NEU LAXOVA SYNDROME', 'NLS', '3-PHOSPHOGLYCERATE DEHYDROGENASE DEFICIENCY, NEONATAL FORM', 'NEU-LAXOVA SYNDROME']",9.97e-05,1.0061699500942206e-06
33,133,17,"['GARD:0000104', 'OMIM:236730', 'ORPHA:2704', 'ORPHANET:2704', 'UMLS:C0403555']","['OCHOA SYNDROME', 'HYDRONEPHROSIS WITH PECULIAR FACIAL EXPRESSION', 'UROFACIAL SYNDROME', 'INVERTED SMILE AND OCCULT NEUROPATHIC BLADDER', 'PARTIAL FACIAL PALSY WITH URINARY ABNORMALITIES', ""UROFACIAL OCHOA'S SYNDROME"", 'UFS']",4.09e-05,1.5584972368696964e-07
34,139,29,"['GARD:0000108', 'OMIM:263570', 'ORPHA:206583', 'ORPHANET:206583', 'UMLS:C1849722']","['ADULT POLYGLUCOSAN BODY DISEASE', 'APBD', 'POLYGLUCOSAN BODY DISEASE, ADULT FORM', 'POLYGLUCOSAN BODY NEUROPATHY, ADULT FORM', 'APBN']",6.2e-05,5.146244072599824e-07
35,141,21,"['GARD:0000109', 'OMIM:166350', 'ORPHA:2762', 'ORPHANET:2762', 'UMLS:C0334041']","['PROGRESSIVE OSSEOUS HETEROPLASIA', 'POH', 'FAMILIAL ECTOPIC OSSIFICATION', 'ECTOPIC OSSIFICATION FAMILIAL TYPE']",5.31e-05,2.8226184553830623e-07
36,149,18,"['GARD:0000114', 'ORPHA:99014', 'ORPHANET:99014', 'UMLS:C1839566']","['X-LINKED CHARCOT-MARIE-TOOTH DISEASE TYPE 5', 'CHARCOT-MARIE-TOOTH NEUROPATHY X TYPE 5', 'CMTX5', 'ROSENBERG-CHUTORIAN SYNDROME', 'OPTIC ATROPHY, POLYNEUROPATHY, AND DEAFNESS', 'OPTIC ATROPHY, SENSORINEURAL HEARING LOSS AND POLYNEUROPATHY', 'FAMILIAL OPTICOACOUSTIC NERVE DEGENERATION AND POLYNEUROPATHY']",4.26e-05,2.2246305955910353e-07
37,151,33,"['GARD:0000116', 'OMIM:609241', 'ORPHA:79279', 'ORPHANET:79279', 'UMLS:C1836544']","['SCHINDLER DISEASE TYPE 1', 'NEUROAXONAL DYSTROPHY, SCHINDLER TYPE', 'ALPHA-N-ACETYLGALACTOSAMINIDASE DEFICIENCY, TYPE 1', 'NAGA DEFICIENCY, TYPE 1', 'SCHINDLER DISEASE TYPE I']",6.59e-05,6.99729166816725e-07
38,153,61,"['GARD:0000117', 'OMIM:269150', 'ORPHA:798', 'ORPHANET:798']","['SCHINZEL GIEDION SYNDROME', 'SCHINZEL GIEDION MIDFACE-RETRACTION SYNDROME', 'SGS', 'SCHINZEL-GIEDION SYNDROME']",0.000133598,1.6739490222957184e-06
39,155,59,"['GARD:0000118', 'OMIM:181450', 'ORPHA:3138', 'ORPHANET:3138', 'UMLS:C1866994']","['ULNAR-MAMMARY SYNDROME', 'UMS', 'SCHINZEL SYNDROME', 'ULNAR-MAMMARY SYNDROME OF PALLISTER']",0.000133582,1.29898869511381e-06
40,159,30,"['GARD:0000121', 'OMIM:227260', 'ORPHA:1807', 'ORPHANET:1807', 'UMLS:C1744559']","['FACIAL ECTODERMAL DYSPLASIA', 'SETLEIS SYNDROME', 'BITEMPORAL FORCEPS MARKS SYNDROME', 'FOCAL FACIAL DERMAL DYSPLASIA TYPE 2', 'FFDD TYPE 2']",7.08e-05,3.829145002837488e-07
41,161,41,"['GARD:0000122', 'OMIM:182250', 'ORPHA:85191', 'ORPHANET:85191', 'UMLS:C0432254']","['SINGLETON-MERTEN SYNDROME', 'MERTEN-SINGLETON SYNDROME', 'SM SYNDROME', 'WIDENED MEDULLARY CAVITIES OF BONE, AORTIC CALCIFICATION, ABNORMAL DENTITION, AND MUSCULAR WEAKNESS', 'SYNDROME OF WIDENED MEDULLARY CAVITIES OF THE METACARPALS AND PHALANGES, AORTIC CALCIFICATION AND ABNORMAL DENTITION', 'SINGLETON-MERTEN DYSPLASIA']",9.990000000000002e-05,8.362000919351291e-07
42,169,11,"['GARD:0000132', 'OMIM:105250', 'ORPHA:137807', 'ORPHANET:137807', 'OMIM:613955']","['PRIMARY CUTANEOUS AMYLOIDOSIS', 'PRIMARY LOCALIZED CUTANEOUS AMYLOIDOSIS', 'PLCA', 'LICHEN AMYLOIDOSIS FAMILIAL', 'AMYLOIDOSIS FAMILIAL CUTANEOUS LICHEN', 'AMYLOIDOSIS 9', 'AMYLOIDOSIS IX']",3.75e-05,9.796910475127262e-08
43,173,24,"['GARD:0000134', 'OMIM:184250']","['SPONDYLOEPIMETAPHYSEAL DYSPLASIA STRUDWICK TYPE', 'DAPPLED METAPHYSIS SYNDROME', 'STRUDWICK SYNDROME', 'SMED STRUDWICK TYPE', 'SMED TYPE 1', 'SMD']",5.44e-05,2.7544133220570984e-07
44,179,18,"['GARD:0000139', 'OMIM:255960', 'ORPHA:615', 'ORPHANET:615']","['ATRIAL MYXOMA, FAMILIAL', 'INTRACARDIAC MYXOMA']",5.3200000000000006e-05,1.9440328425672967e-07
45,201,34,"['GARD:0000155', 'OMIM:135750', 'ORPHA:2378', 'ORPHANET:2378', 'UMLS:C1851100']","['LAURIN-SANDROW SYNDROME', 'FIBULA ULNA DUPLICATION TIBIA RADIUS ABSENCE', 'SANDROW SYNDROME', 'MIRROR HANDS AND FEET WITH NASAL DEFECTS', 'TETRAMELIC MIRROR-IMAGE POLYDACTYLY', 'LAURIN SANDROW SYNDROME']",7.42e-05,5.640947920053948e-07
46,203,66,"['GARD:0000156', 'OMIM:253280', 'ORPHA:588', 'ORPHANET:588', 'UMLS:C0457133']","['MUSCLE EYE BRAIN DISEASE', 'MEB', 'MUSCLE-EYE-BRAIN DISEASE', 'MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY CONGENITAL WITH BRAIN AND EYE ANOMALIES A3']",0.00014507,2.4058980310896333e-06
47,209,50,"['GARD:0000159', 'OMIM:181270', 'ORPHA:2036', 'ORPHANET:2036']","['SCALP EAR NIPPLE SYNDROME', 'HEREDITARY SYNDROME OF LUMPY SCALP, ODD EARS AND RUDIMENTARY NIPPLES', 'SEN SYNDROME', 'FINLAY-MARKS SYNDROME', 'SCALP-EAR-NIPPLE SYNDROME']",0.000111729,1.1058530962574893e-06
48,217,3,"['GARD:0000166', 'OMIM:269160', 'ORPHA:799', 'ORPHANET:799']",SCHIZENCEPHALY,1.12e-05,6.261389700361891e-09
49,219,34,"['GARD:0000169', 'OMIM:269250', 'ORPHA:3144', 'ORPHANET:3144', 'UMLS:C0432194']","['SCHNECKENBECKEN DYSPLASIA', 'CHONDRODYSPLASIA LETHAL NEONATAL WITH SNAIL LIKE PELVIS']",7.290000000000001e-05,4.5326927388670044e-07
50,229,33,"['GARD:0000175', 'OMIM:269920']","['INFANTILE FREE SIALIC ACID STORAGE DISEASE', 'SIALURIA, INFANTILE FORM', 'INFANTILE SIALIC ACID STORAGE DISORDER', 'ISSD']",7.08e-05,7.122378456665493e-07
51,241,18,"['GARD:0000181', 'OMIM:248200', 'ORPHA:827', 'ORPHANET:827', 'UMLS:C0271093']","['STARGARDT DISEASE', 'STARGARDT MACULAR DYSTROPHY', 'JUVENILE ONSET MACULAR DEGENERATION']",5.88e-05,1.9209160152240286e-07
52,243,11,"['GARD:0000182', 'OMIM:153700', 'ORPHA:1243', 'ORPHANET:1243']","['BEST VITELLIFORM MACULAR DYSTROPHY', 'BEST DISEASE', 'BEST MACULAR DYSTROPHY', 'MACULAR DEGENERATION, POLYMORPHIC VITELLINE', 'VITELLIFORM MACULAR DYSTROPHY TYPE 2', 'VMD2', 'BVMD', 'EARLY-ONSET VITELLIFORM MACULAR DYSTROPHY', 'JUVENILE-ONSET VITELLIFORM MACULAR DYSTROPHY', 'POLYMORPHIC VITELLINE MACULAR DEGENERATION']",3.5499999999999996e-05,8.646831132818789e-08
53,259,66,"['GARD:0000193', 'OMIM:300000', 'ORPHA:2745', 'ORPHANET:2745', 'OMIM:145410']","['OPITZ G/BBB SYNDROME', 'HYPOSPADIAS-DYSPHAGIA, SYNDROME', 'OPITZ-FRIAS SYNDROME', 'G SYNDROME', 'OPITZ-G SYNDROME, TYPE 2', 'HYPERTELORISM HYPOSPADIAS SYNDROME', 'HYPERTELORISM WITH ESOPHAGEAL ABNORMALITY AND HYPOSPADIAS', 'BBB SYNDROME', 'TELECANTHUS WITH ASSOCIATED ABNORMALITIES', 'OPITZ BBBG SYNDROME', 'GBBB SYNDROME']",0.000129896,2.1837623189521134e-06
54,263,32,"['GARD:0000195', 'OMIM:170500', 'ORPHA:682', 'ORPHANET:682']","['HYPERKALEMIC PERIODIC PARALYSIS', 'HYPP', 'GAMSTORP DISEASE', 'GAMSTORP EPISODIC ADYNAMY', 'ADYNAMIA EPISODICA HEREDITARIA WITH OR WITHOUT MYOTONIA', 'SODIUM CHANNEL MUSCLE DISEASE']",7.020000000000001e-05,5.191621249086415e-07
55,267,12,"['GARD:0000198', 'OMIM:253400', 'ORPHA:83419', 'ORPHANET:83419', 'UMLS:C0152109']","['SPINAL MUSCULAR ATROPHY TYPE 3', 'SMA3', 'MUSCULAR ATROPHY, JUVENILE', 'SMA 3', 'KUGELBERG-WELANDER SYNDROME', 'KWS', 'SPINAL MUSCULAR ATROPHY, MILD CHILDHOOD AND ADOLESCENT FORM']",3.4200000000000005e-05,8.784245035472557e-08
56,297,8,"['GARD:0000218', 'OMIM:237450', 'ORPHA:3111', 'ORPHANET:3111', 'UMLS:C0220991']","['ROTOR SYNDROME', 'HYPERBILIRUBINEMIA, ROTOR TYPE', 'ROTOR-TYPE HYPERBILIRUBINEMIA']",2.3199999999999998e-05,5.485648244520397e-08
57,311,37,"['GARD:0000226', 'OMIM:262190', 'ORPHA:769', 'ORPHANET:769', 'UMLS:C0271695']","['RABSON-MENDENHALL SYNDROME', 'PINEAL HYPERPLASIA, INSULIN-RESISTANT DIABETES MELLITUS, AND SOMATIC ABNORMALITIES', 'MENDENHALL SYNDROME', 'INSR-RELATED SEVERE SYNDROMIC INSULIN RESISTANCE']",8.809999999999999e-05,6.561944618097408e-07
58,317,29,"['GARD:0000231', 'OMIM:603896', 'ORPHA:135', 'ORPHANET:135']","['LEUKOENCEPHALOPATHY WITH VANISHING WHITE MATTER', 'CHILDHOOD ATAXIA WITH DIFFUSE CENTRAL NERVOUS SYSTEM HYPOMYELINATION', 'CACH SYNDROME', 'CACH/VWM SYNDROME', 'MYELINOSIS CENTRALIS DIFFUSA', 'CREE LEUKOENCEHALOPATHY', 'CHILDHOOD ATAXIA WITH CENTRAL NERVOUS SYSTEM HYPOMYELINATION/VANISHING WHITE MATTER', 'CACH/VWM', 'VANISHING WHITE MATTER LEUKODYSTROPHY', 'VANISHING WHITE MATTER DISEASE']",7.94e-05,5.534991361616371e-07
59,323,22,"['GARD:0000234', 'OMIM:220120', 'ORPHA:941', 'ORPHANET:941', 'UMLS:C1291386']","['D-GLYCERICACIDEMIA', 'D-GLYCERATE KINASE DEFICIENCY', 'NON KETOTIC HYPERGLYCINEMIA SYNDROME']",4.6399999999999996e-05,3.5297240997673854e-07
60,347,25,"['GARD:0000249', 'OMIM:122860', 'UMLS:C2931270']","['SCHAEFER STEIN OSHMAN SYNDROME', 'DOMINANTLY INHERITED CRANIODIAPHYSEAL DYSPLASIA', 'CRANIODIAPHYSEAL DYSPLASIA, DOMINANT']",5.520000000000001e-05,3.372929238429022e-07
61,349,120,"['GARD:0000250', 'ORPHA:800', 'ORPHANET:800', 'UMLS:C0036391', 'OMIM:255800']","['SCHWARTZ JAMPEL SYNDROME', 'SCHWARTZ JAMPEL ABERFELD SYNDROME', 'MYOTONIC MYOPATHY DWARFISM CHONDRODYSTROPHY AND OCULAR AND FACIAL ABNORMALITIES', 'SJA SYNDROME', 'CHONDRODYSTROPHIC MYOTONIA', 'MYOTONIC CHONDRODYSTROPHY', 'MYOTONIC MYOPATHY, DWARFISM, CHONDRODYSTROPHY, OCULAR AND FACIAL ANOMALIES', 'ABERFELD SYNDROME', 'BURTON SKELETAL DYSPLASIA', 'BURTON SYNDROME', 'CATEL-HEMPEL SYNDROME', 'DYSOSTOSIS ENCHONDRALIS METAEPIPHYSARIA, CATEL-HEMPEL TYPE', 'OSTEOCHONDROMUSCULAR DYSTROPHY', 'SCHWARTZ-JAMPEL SYNDROME', 'SCHWARTZ-JAMPEL-ABERFELD SYNDROME', 'SJS', 'SJS1']",0.000239267,6.312885826839467e-06
62,361,31,"['GARD:0000262', 'OMIM:551500', 'ORPHA:644', 'ORPHANET:644', 'UMLS:C1328349']","['NEUROPATHY ATAXIA RETINITIS PIGMENTOSA SYNDROME', 'NARP SYNDROME', 'NARP']",7.18e-05,5.614103027710977e-07
63,363,19,"['GARD:0000264', 'OMIM:226960', 'ORPHA:1824', 'ORPHANET:1824', 'UMLS:C0796021']","['LOWRY WOOD SYNDROME', 'EPIPHYSEAL DYSPLASIA, MICROCEPHALY AND NYSTAGMUS', 'LWS']",4.11e-05,2.270711218422502e-07
64,369,32,"['GARD:0000269', 'OMIM:147750', 'ORPHA:2307', 'ORPHANET:2307', 'UMLS:C1327918']","['IVIC SYNDROME', 'INSTITUTO VENEZOLANO DE INVESTIGACIONES CIENTIFICAS SYNDROME', 'RADIAL RAY DEFECTS, HEARING IMPAIRMENT, EXTERNAL OPHTHALMOPLEGIA, AND THROMBOCYTOPENIA', 'OCULOOTORADIAL SYNDROME', 'OORS']",7.48e-05,4.856145558223106e-07
65,371,70,"['GARD:0000270', 'OMIM:601358', 'ORPHA:3051', 'ORPHANET:3051', 'UMLS:C1303073']","['NICOLAIDES-BARAITSER SYNDROME', 'SPARSE HAIR AND MENTAL RETARDATION', 'NCBRS']",0.00013491799999999998,2.029165850598121e-06
66,375,13,"['GARD:0000272', 'OMIM:276950', 'UMLS:C2931229']","['VACTERL HYDROCEPHALY', 'VERTEBRAL (V), ANAL (A), CARDIAC (C), TRACHEOESOPHAGEAL (TE), RENAL (R) AND LIMB (L) ANOMALIES AND HYDROCEPHALY', 'VACTERL ASSOCIATION WITH HYDROCEPHALY']",3.16e-05,8.334855259172354e-08
