/DisorderList/Disorder/DisorderType/Name,/DisorderList/Disorder/Name,/DisorderList/Disorder/PrevalenceList/Prevalence/PrevalenceClass/Name,/DisorderList/Disorder/PrevalenceList/Prevalence/PrevalenceGeographic/Name,/DisorderList/Disorder/PrevalenceList/Prevalence/PrevalenceType/OrphaNumber,/DisorderList/Disorder/PrevalenceList/Prevalence/PrevalenceType/OrphaNumber/#agg,/DisorderList/Disorder/PrevalenceList/Prevalence/PrevalenceValidationStatus/@id,/DisorderList/Disorder/PrevalenceList/Prevalence/PrevalenceValidationStatus/@id/#agg,/DisorderList/Disorder/PrevalenceList/Prevalence/PrevalenceValidationStatus/Name/@lang,/DisorderList/Disorder/PrevalenceList/Prevalence/PrevalenceValidationStatus/Name,/DisorderList/Disorder/PrevalenceList/Prevalence/PrevalenceValidationStatus/OrphaNumber,/DisorderList/Disorder/PrevalenceList/Prevalence/PrevalenceValidationStatus/OrphaNumber/#agg,/DisorderList/Disorder/PrevalenceList/Prevalence/Source,/DisorderList/Disorder/PrevalenceList/Prevalence/ValMoy,/DisorderList/Disorder/PrevalenceList/Prevalence/ValMoy/#agg
Disease,Glycogen storage disease due to acid maltase deficiency,1-9 / 100 000,Europe,409966,409966,25958,25958,en,Validated,410293,410293,European Medicines Agency 2018[INST],3,3
Clinical subtype,Von Willebrand disease type 2B,Unknown,Worldwide,409966,409966,25965,25965,en,Not yet validated,410294,410294,ORPHANET,0,0
Disease,Glycogen storage disease due to glycogen debranching enzyme deficiency,1-9 / 100 000,United States,409968,409968,25958,25958,en,Validated,410293,410293,9412782[PMID],1,1
Disease,Glycogen storage disease due to glycogen debranching enzyme deficiency,Unknown,Worldwide,409966,409966,25958,25958,en,Validated,410293,410293,ORPHANET,0,0
Clinical subtype,Von Willebrand disease type 2N,Unknown,Worldwide,409966,409966,25965,25965,en,Not yet validated,410294,410294,ORPHANET,0,0
Disease,Glycogen storage disease due to muscle glycogen phosphorylase deficiency,Unknown,Worldwide,409966,409966,25965,25965,en,Not yet validated,410294,410294,ORPHANET,0,0
Clinical subtype,Von Willebrand disease type 3,1-9 / 1 000 000,Europe,409966,409966,25965,25965,en,Not yet validated,410294,410294,ORPHANET,0,0
Disease,Glycogen storage disease due to glycogen branching enzyme deficiency,1-9 / 1 000 000,Worldwide,409968,409968,25965,25965,en,Not yet validated,410294,410294,23285490[PMID],0.1,0.1
Disease,Glycogen storage disease due to glycogen branching enzyme deficiency,Unknown,Worldwide,409966,409966,25965,25965,en,Not yet validated,410294,410294,ORPHANET,0,0
Malformation syndrome,Autosomal dominant otospondylomegaepiphyseal dysplasia,,,,,,,,,,,,,
Disease,Glycogen storage disease due to muscle phosphofructokinase deficiency,,Worldwide,409970,409970,25958,25958,en,Validated,410293,410293,18421897[PMID],100,100
Disease,Glycogen storage disease due to muscle phosphofructokinase deficiency,<1 / 1 000 000,Worldwide,409966,409966,25958,25958,en,Validated,410293,410293,ORPHANET_18421897[PMID],0,0
Disease,FASTKD2-related infantile mitochondrial encephalomyopathy,,Worldwide,409970,409970,25958,25958,en,Validated,410293,410293,18771761[PMID]_28499982[PMID],3,3
Disease,FASTKD2-related infantile mitochondrial encephalomyopathy,<1 / 1 000 000,Worldwide,409966,409966,25958,25958,en,Validated,410293,410293,ORPHANET_18771761[PMID]_28499982[PMID],0,0
Disease,Glycogen storage disease due to liver glycogen phosphorylase deficiency,Unknown,Worldwide,409966,409966,25965,25965,en,Not yet validated,410294,410294,ORPHANET,0,0
Disease,Paroxysmal nocturnal hemoglobinuria,1-9 / 1 000 000,United Kingdom,409967,409967,25958,25958,en,Validated,410293,410293,Hill_Platts_Smith 2006[AUTHOR],0.13,0.13
Disease,Paroxysmal nocturnal hemoglobinuria,1-9 / 100 000,United Kingdom,409966,409966,25958,25958,en,Validated,410293,410293,Hill_Platts_Smith 2006[AUTHOR],1.59,1.59
Disease,Paroxysmal nocturnal hemoglobinuria,1-9 / 100 000,Europe,409966,409966,25958,25958,en,Validated,410293,410293,European Medicines Agency 2016[INST],2,2
Disease,"Intellectual disability, Birk-Barel type",,Worldwide,409970,409970,25958,25958,en,Validated,410293,410293,18678320[PMID],1,1
Disease,"Intellectual disability, Birk-Barel type",<1 / 1 000 000,Worldwide,409966,409966,25958,25958,en,Validated,410293,410293,ORPHANET_18678320[PMID],0,0
Disease,Bazex syndrome,,Worldwide,409970,409970,25958,25958,en,Validated,410293,410293,18775590[PMID],145,145
Disease,Bazex syndrome,<1 / 1 000 000,Worldwide,409966,409966,25958,25958,en,Validated,410293,410293,ORPHANET_18775590[PMID],0,0
Clinical group,Rare cutaneous lupus erythematosus,1-5 / 10 000,Europe,409966,409966,25958,25958,en,Validated,410293,410293,European Medicines Agency 2007[INST],50,50
Clinical group,Rare cutaneous lupus erythematosus,1-9 / 100 000,United States,409967,409967,25958,25958,en,Validated,410293,410293,19289752[PMID],4.3,4.3
Clinical group,Rare cutaneous lupus erythematosus,6-9 / 10 000,United States,409966,409966,25958,25958,en,Validated,410293,410293,19289752[PMID],73,73
Clinical group,Rare cutaneous lupus erythematosus,1-9 / 100 000,Sweden,409967,409967,25958,25958,en,Validated,410293,410293,21574972[PMID],4,4
Disease,Isolated osteopoikilosis,,,,,,,,,,,,,
Disease,Krabbe disease,1-9 / 1 000 000,United States,409968,409968,25958,25958,en,Validated,410293,410293,22991292[PMID]_26795590[PMID],0.327,0.327
Disease,Krabbe disease,1-9 / 100 000,Europe,409966,409966,25958,25958,en,Validated,410293,410293,[EXPERT],1,1
Disease,Krabbe disease,1-9 / 1 000 000,Worldwide,409968,409968,25958,25958,en,Validated,410293,410293,[EXPERT],0.7,0.7
Disease,Krabbe disease,1-9 / 100 000,Europe,409968,409968,25965,25965,en,Not yet validated,410294,410294,20301416[PMID],1,1
Disease,Krabbe disease,1-9 / 1 000 000,France,409968,409968,25958,25958,en,Validated,410293,410293,[EXPERT],0.7,0.7
Disease,Krabbe disease,1-9 / 1 000 000,Australia,409968,409968,25958,25958,en,Validated,410293,410293,9918480[PMID],0.71,0.71
Disease,Krabbe disease,1-9 / 100 000,Netherlands,409968,409968,25958,25958,en,Validated,410293,410293,10480370[PMID],1.35,1.35
Disease,Krabbe disease,1-9 / 100 000,Portugal,409968,409968,25958,25958,en,Validated,410293,410293,14685153[PMID],1.21,1.21
Disease,Krabbe disease,1-9 / 1 000 000,Germany,409968,409968,25958,25958,en,Validated,410293,410293,9286459[PMID],0.6,0.6
Disease,Krabbe disease,1-9 / 100 000,Turkey,409968,409968,25958,25958,en,Validated,410293,410293,20490927[PMID],1,1
Disease,Krabbe disease,1-9 / 1 000 000,Czech Republic,409968,409968,25958,25958,en,Validated,410293,410293,20490927[PMID],0.4,0.4
Disease,Krabbe disease,1-9 / 100 000,Sweden,409968,409968,25958,25958,en,Validated,410293,410293,5409293[PMID],1.9,1.9
Clinical subtype,Dentinogenesis imperfecta type 2,1-5 / 10 000,Europe,409966,409966,25958,25958,en,Validated,410293,410293,[EXPERT],14.6,14.6
Clinical subtype,Dentinogenesis imperfecta type 3,Unknown,Worldwide,409966,409966,25965,25965,en,Not yet validated,410294,410294,ORPHANET,0,0
Disease,Mucopolysaccharidosis type 6,1-9 / 1 000 000,Europe,409968,409968,25965,25965,en,Not yet validated,410294,410294,ORPHANET,0.16,0.16
Disease,Mucopolysaccharidosis type 6,1-9 / 1 000 000,Germany,409968,409968,25958,25958,en,Validated,410293,410293,16435194[PMID],0.23,0.23
Disease,Mucopolysaccharidosis type 6,1-9 / 1 000 000,Netherlands,409968,409968,25958,25958,en,Validated,410293,410293,10480370[PMID],0.15,0.15
Disease,Mucopolysaccharidosis type 6,1-9 / 1 000 000,Portugal,409968,409968,25958,25958,en,Validated,410293,410293,14685153[PMID],0.42,0.42
Disease,Mucopolysaccharidosis type 6,1-9 / 1 000 000,Sweden,409968,409968,25958,25958,en,Validated,410293,410293,18681890[PMID]_25274184[PMID],0.23,0.23
Disease,Mucopolysaccharidosis type 6,1-9 / 100 000,Sweden,409966,409966,25958,25958,en,Validated,410293,410293,18681890[PMID],3.3,3.3
Disease,Mucopolysaccharidosis type 6,<1 / 1 000 000,Norway,409968,409968,25958,25958,en,Validated,410293,410293,18681890[PMID],0.07,0.07
Disease,Mucopolysaccharidosis type 6,1-9 / 100 000,Norway,409966,409966,25958,25958,en,Validated,410293,410293,18681890[PMID],2.2,2.2
Disease,Mucopolysaccharidosis type 6,<1 / 1 000 000,Denmark,409968,409968,25958,25958,en,Validated,410293,410293,18681890[PMID],0.05,0.05
Disease,Mucopolysaccharidosis type 6,1-9 / 100 000,Denmark,409966,409966,25958,25958,en,Validated,410293,410293,18681890[PMID],3.7,3.7
Disease,Mucopolysaccharidosis type 6,<1 / 1 000 000,Czech Republic,409968,409968,25958,25958,en,Validated,410293,410293,20490927[PMID],0.05,0.05
Disease,Mucopolysaccharidosis type 6,1-9 / 1 000 000,Australia,409968,409968,25958,25958,en,Validated,410293,410293,16600651[PMID]_14608657[PMID],0.37,0.37
Disease,Mucopolysaccharidosis type 6,1-9 / 1 000 000,Canada,409968,409968,25958,25958,en,Validated,410293,410293,10617747[PMID],0.1,0.1
Disease,Mucopolysaccharidosis type 6,1-9 / 1 000 000,"Taiwan, Province of China",409968,409968,25958,25958,en,Validated,410293,410293,19396827[PMID],0.14,0.14
Disease,Mucopolysaccharidosis type 6,1-9 / 1 000 000,Estonia,409968,409968,25958,25958,en,Validated,410293,410293,22480138[PMID],0.27,0.27
Disease,Mucopolysaccharidosis type 6,<1 / 1 000 000,Colombia,409966,409966,25958,25958,en,Validated,410293,410293,22550061[PMID],0.059,0.059
Disease,Mucopolysaccharidosis type 6,1-9 / 1 000 000,Europe,409966,409966,25958,25958,en,Validated,410293,410293,European Medicines Agency 2001[INST],0.16,0.16
Disease,Mucopolysaccharidosis type 6,1-9 / 100 000,Turkey,409968,409968,25958,25958,en,Validated,410293,410293,16435194[PMID],2.3,2.3
Disease,Mucopolysaccharidosis type 6,<1 / 1 000 000,Poland,409968,409968,25958,25958,en,Validated,410293,410293,25472774[PMID],0.0132,0.0132
Disease,Mucopolysaccharidosis type 6,1-9 / 100 000,Saudi Arabia,409968,409968,25958,25958,en,Validated,410293,410293,20622343[PMID],7.85,7.85
Disease,Mucopolysaccharidosis type 6,1-9 / 1 000 000,Brazil,409968,409968,25958,25958,en,Validated,410293,410293,DOI: https://doi.org/10.1016/j.ymgme.2014.12.082[OTHER],0.31,0.31
Disease,Mucopolysaccharidosis type 6,<1 / 1 000 000,Japan,409968,409968,25958,25958,en,Validated,410293,410293,28595941[PMID],0.03,0.03
Disease,Mucopolysaccharidosis type 6,1-9 / 1 000 000,Switzerland,409968,409968,25958,25958,en,Validated,410293,410293,28595941[PMID],0.11,0.11
Disease,Mucopolysaccharidosis type 6,1-9 / 1 000 000,Tunisia,409968,409968,25958,25958,en,Validated,410293,410293,20209839[PMID],0.3,0.3
Disease,Mucopolysaccharidosis type 6,<1 / 1 000 000,"Korea, Republic of",409968,409968,25958,25958,en,Validated,410293,410293,25364648[PMID],0.019,0.019
Disease,Mucopolysaccharidosis type 6,<1 / 1 000 000,United States,409968,409968,25958,25958,en,Validated,410293,410293,DOI: https://doi.org/10.1016/j.ymgme.2016.11.285[OTHER],0.05,0.05
Malformation syndrome,Odontochondrodysplasia,,Worldwide,409970,409970,25958,25958,en,Validated,410293,410293,18241073[PMID],11,11
Malformation syndrome,Odontochondrodysplasia,<1 / 1 000 000,Worldwide,409966,409966,25958,25958,en,Validated,410293,410293,ORPHANET_18241073[PMID],0,0
Disease,Mucolipidosis type II,1-9 / 1 000 000,Europe,409968,409968,25958,25958,en,Validated,410293,410293,14685153[PMID]_10480370[PMID]_20301728[PMID]_ORPHANET,0.84,0.84
Disease,Mucolipidosis type II,<1 / 1 000 000,Europe,409966,409966,25958,25958,en,Validated,410293,410293,ORPHANET,0,0
Disease,Mucolipidosis type II,1-9 / 1 000 000,Portugal,409968,409968,25958,25958,en,Validated,410293,410293,14685153[PMID],0.81,0.81
Disease,Mucolipidosis type II,1-9 / 1 000 000,Netherlands,409968,409968,25958,25958,en,Validated,410293,410293,10480370[PMID],0.16,0.16
Disease,Mucolipidosis type II,1-9 / 1 000 000,Japan,409968,409968,25958,25958,en,Validated,410293,410293,2998652[PMID],0.4,0.4
Disease,Mucolipidosis type II,1-9 / 100 000,Ireland,409968,409968,25958,25958,en,Validated,410293,410293,20301728[PMID],1.56,1.56
Disease,Mucolipidosis type II,1-5 / 10 000,Specific population,409968,409968,25958,25958,en,Validated,410293,410293,18190596[PMID]_1937486[PMID],16.2,16.2
Disease,Mucolipidosis type II,<1 / 1 000 000,Sweden,409968,409968,25958,25958,en,Validated,410293,410293,25274184[PMID],0.05,0.05
Malformation syndrome,Wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia,,Worldwide,409970,409970,25958,25958,en,Validated,410293,410293,10544232[PMID],3,3
Malformation syndrome,Wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia,<1 / 1 000 000,Worldwide,409966,409966,25958,25958,en,Validated,410293,410293,ORPHANET_10544232[PMID],0,0
Disease,Sialidosis type 1,<1 / 1 000 000,Europe,409966,409966,25958,25958,en,Validated,410293,410293,ORPHANET,0,0
Disease,Sialidosis type 1,<1 / 1 000 000,Europe,409968,409968,25958,25958,en,Validated,410293,410293,ORPHANET,0,0
Disease,Familial sick sinus syndrome,,Worldwide,409970,409970,25958,25958,en,Validated,410293,410293,ORPHANET,11,11
Disease,Familial sick sinus syndrome,<1 / 1 000 000,Worldwide,409966,409966,25958,25958,en,Validated,410293,410293,ORPHANET,0,0
Disease,Mucolipidosis type IV,Unknown,Worldwide,409966,409966,25958,25958,en,Validated,410293,410293,ORPHANET,0,0
Disease,Mucolipidosis type IV,1-9 / 1 000 000,Sweden,409968,409968,25958,25958,en,Validated,410293,410293,25274184[PMID],0.1,0.1
Disease,Mucolipidosis type IV,1-9 / 100 000,Specific population,409968,409968,25958,25958,en,Validated,410293,410293,20159435[PMID]_16287144[PMID]_16645217[PMID],2.5,2.5
Disease,Porokeratotic eccrine ostial and dermal duct nevus,,Worldwide,409970,409970,25958,25958,en,Validated,410293,410293,21393947[PMID],45,45
Disease,Porokeratotic eccrine ostial and dermal duct nevus,<1 / 1 000 000,Worldwide,409966,409966,25958,25958,en,Validated,410293,410293,ORPHANET_21393947[PMID],0,0
Disease,Mucolipidosis type III,<1 / 1 000 000,Netherlands,409968,409968,25958,25958,en,Validated,410293,410293,10480370[PMID],0.08,0.08
Disease,Mucolipidosis type III,1-9 / 100 000,Portugal,409968,409968,25958,25958,en,Validated,410293,410293,14685153[PMID],1.89,1.89
Disease,Mucolipidosis type III,Unknown,Europe,409966,409966,25965,25965,en,Not yet validated,410294,410294,ORPHANET,0,0
Disease,Mucolipidosis type III,1-9 / 100 000,Europe,409968,409968,25958,25958,en,Validated,410293,410293,10480370[PMID]_14685153[PMID],1,1
Disease,Dirofilariasis,<1 / 1 000 000,Europe,409966,409966,25965,25965,en,Not yet validated,410294,410294,ORPHANET,0,0
Clinical group,Benign non-familial infantile seizures,,,,,,,,,,,,,
Disease,Benign infantile focal epilepsy with midline spikes and waves during sleep,,Worldwide,409970,409970,25958,25958,en,Validated,410293,410293,20822975[PMID],36,36
Disease,Benign infantile focal epilepsy with midline spikes and waves during sleep,<1 / 1 000 000,Worldwide,409966,409966,25958,25958,en,Validated,410293,410293,ORPHANET_20822975[PMID],0,0
Disease,Benign infantile seizures associated with mild gastroenteritis,,Worldwide,409970,409970,25958,25958,en,Validated,410293,410293,24125788[PMID],100,100
Disease,Benign infantile seizures associated with mild gastroenteritis,<1 / 1 000 000,Worldwide,409966,409966,25958,25958,en,Validated,410293,410293,ORPHANET_24125788[PMID],0,0
Disease,Poliomyelitis,<1 / 1 000 000,Europe,409966,409966,25965,25965,en,Not yet validated,410294,410294,ORPHANET,0,0
Disease,Poliomyelitis,<1 / 1 000 000,Europe,409967,409967,25958,25958,en,Validated,410293,410293,European Centre for Disease prevention and Control 2011[INST],0,0
Disease,Benign partial epilepsy with secondarily generalized seizures in infancy,,,,,,,,,,,,,
