,ID(n),count(s),d.id,n.I_CODE,n.N_Name,Weight,tf_idf_sum
13,86676,13,HP:0003281,"['UMLS:C0743912', 'UMLS:C3854388', 'UMLS:C0241013', 'HP:0003281']","['HIGH FERRITIN LEVEL', 'INCREASED PLASMA FERRITIN', 'INCREASED FERRITIN', 'INCREASED SERUM FERRITIN LEVEL', 'HYPERFERRITINAEMIA', 'ELEVATED SERUM FERRITIN', 'HYPERFERRITINEMIA', 'INCREASED SERUM FERRITIN']",4.48e-05,7.850570942746944e-08
14,122820,119,HP:0001511,"['HP:0008892', 'HP:0008862', 'HP:0008931', 'HP:0001515', 'SNOMEDCT_US:22033007', 'UMLS:C1386048', 'UMLS:C0021296', 'MESH:D005317', 'MESH:D007236', 'SNOMEDCT_US:199612005', 'UMLS:C0015934', 'HP:0001511']","['PRENATAL GROWTH RETARDATION', 'PRENATAL GROWTH FAILURE', 'PRENATAL-ONSET GROWTH RETARDATION', 'PRENATAL GROWTH DEFICIENCY', 'IUGR', 'INTRAUTERINE GROWTH RETARDATION, IUGR', 'INTRAUTERINE GROWTH FAILURE', 'PRENATAL ONSET GROWTH RETARDATION', 'INTRAUTERINE GROWTH RESTRICTION', 'IN UTERO GROWTH RETARDATION', 'INTRAUTERINE RETARDATION', 'SMALL FOR GESTATIONAL AGE INFANT', 'INTRAUTERINE GROWTH RETARDATION']",0.00023920700000000002,7.089742594621989e-06
15,100612,54,HP:0001319,"['HP:0008976', 'HP:0006830', 'UMLS:C2267233', 'SNOMEDCT_US:205294008', 'MESH:D009123', 'HP:0001319']","['HYPOTONIA, IN NEONATAL ONSET', 'LOW MUSCLE TONE, IN NEONATAL ONSET', 'HYPOTONIA, NEONATAL', 'CONGENITAL HYPOTONIA', 'NEONATAL HYPOTONIA']",0.000112014,1.1879141956004246e-06
16,78270,7,HP:0005105,"['UMLS:C4025252', 'HP:0005105']","['ABNORMAL OF MORPHOLOGY OF NOSE', 'ABNORMAL OF SHAPE OF NOSE', 'ABNORMAL OF NASAL SHAPE', 'ABNORMAL NOSE MORPHOLOGY', 'ABNORMAL NASAL MORPHOLOGY']",8.57e-05,9.89394947747892e-08
17,89629,844,HP:0000006,"['HP:0001463', 'HP:0001447', 'HP:0001456', 'HP:0001455', 'HP:0001415', 'HP:0001451', 'HP:0001448', 'UMLS:C0443147', 'SNOMEDCT_US:263681008', 'HP:0000006']","['AUTOSOMAL DOMINANT', 'AUTOSOMAL DOMINANT TYPE', 'AUTOSOMAL DOMINANT FORM', 'AUTOSOMAL DOMINANT INHERITANCE']",0.0020039999999999997,0.00023108313935872121
18,89585,1048,HP:0000007,"['HP:0001416', 'HP:0001526', 'SNOMEDCT_US:258211005', 'UMLS:C4020899', 'UMLS:C0441748', 'HP:0000007']","['AUTOSOMAL RECESSIVE', 'AUTOSOMAL RECESSIVE FORM', 'AUTOSOMAL RECESSIVE PREDISPOSITION', 'AUTOSOMAL RECESSIVE INHERITANCE']",0.002253385,0.00034113752456419865
19,100264,3,HP:0011267,"['UMLS:C4280331', 'UMLS:C4021174', 'HP:0011267']","['THIRD-DEGREE MICROTIA', 'MICROTIA, THIRD DEGREE']",1.4000000000000001e-05,1.2219524984851883e-08
20,120045,13,HP:0000153,"['MESH:D009056', 'SNOMEDCT_US:128334002', 'UMLS:C0026633', 'HP:0000153']","['ABNORMAL MOUTH', 'ABNORMALITY OF THE MOUTH']",0.000104113,2.3462696003721795e-07
21,124142,1,HP:0002933,"['SNOMEDCT_US:414396006', 'MESH:D006555', 'UMLS:C0019326', 'HP:0002933']",VENTRAL HERNIA,1.12e-05,2.3766981843767413e-09
22,119056,5,HP:0000188,"['HP:0200087', 'UMLS:C1848977', 'HP:0000188']","['DECREASED UPPER LABIAL LENGTH', 'SHORT UPPER LIP', 'DECREASED VERTICAL LENGTH OF UPPER LIP', 'VERTICAL DEFICIENCY OF UPPER LIP', 'DECREASED HEIGHT OF UPPER LIP', 'DECREASED UPPER LABIAL HEIGHT', 'SHORTENING OF UPPER LIP']",1.86e-05,2.8348033324698242e-08
23,61378,134,HP:0001762,"['SNOMEDCT_US:397932003', 'UMLS:C0009081', 'SNOMEDCT_US:249808002', 'MESH:D003025', 'HP:0001762']","['PES EQUINOVARUS', 'CLUB FOOT', 'CLUBFEET', 'CLUBFOOT', 'FOOT, TALIPES EQUINOVARUS', 'EQUINOVARUS', 'PES EQUINUS', 'CLUB FEET', 'TALIPES VARUS', 'TALIPES EQUINOVARUS', 'TALIPES EQUINOVARUS, CONGENITAL']",0.000260462,7.355581553499459e-06
24,61034,258,HP:0000316,"['HP:0002001', 'HP:0004657', 'HP:0000578', 'HP:0007871', 'SNOMEDCT_US:194021007', 'MESH:D006972', 'UMLS:C0020534', 'SNOMEDCT_US:22006008', 'HP:0000316']","['WIDE-SET EYES', 'WIDELY SPACED EYES', 'EXCESSIVE ORBITAL SEPARATION', 'WIDENED INTERPUPILLARY DISTANCE', 'INCREASED DISTANCE BETWEEN EYE SOCKETS', 'INCREASED DISTANCE BETWEEN EYES', 'OCULAR HYPERTELORISM', 'INCREASED INTERPUPILLARY DISTANCE', 'HYPERTELORISM']",0.00046927,2.6766087678212985e-05
25,120110,54,HP:0010049,"['HP:0005695', 'HP:0006047', 'HP:0006183', 'HP:0006186', 'HP:0005717', 'HP:0005909', 'HP:0001164', 'UMLS:C1837084', 'HP:0010049']","['BRACHYMETACARPALIA', 'METACARPAL HYPOPLASIA', 'SHORTENING OF METACARPALS', 'SHORTENED LONG BONE OF HAND', 'SHORTENED METACARPALS', 'HYPOPLASTIC METACARPAL', 'SHORT METACARPALS', 'SHORT METACARPAL BONES', 'SHORT METACARPAL']",0.000157312,1.8326394727012741e-06
26,100714,41,HP:0008736,"['HP:0008632', 'SNOMEDCT_US:34911001', 'UMLS:C0266435', 'HP:0008736']","['UNDERDEVELOPED PENIS', 'HYPOPLASIA OF PENIS']",9.63e-05,1.0266323587099977e-06
27,96144,9,HP:0006709,"['HP:0006669', 'HP:0006602', 'UMLS:C3150086', 'HP:0006709']","['ABSENT/SMALL NIPPLES', 'ABSENT/RUDIMENTARY NIPPLES', 'NIPPLES ABSENT OR RUDIMENTARY', 'ABSENT/UNDERDEVELOPED NIPPLES', 'APLASIA/HYPOPLASIA OF THE NIPPLES']",3.27e-05,7.436146976968213e-08
28,85885,49,HP:0000958,"['UMLS:C0259817', 'SNOMEDCT_US:16386004', 'UMLS:C0151908', 'HP:0000958']","['DRY SKIN', 'XEROSIS']",0.00010619799999999999,1.1076283269594916e-06
29,104155,10,HP:0007392,"['UMLS:C4024890', 'HP:0007392']",['EXCESSIVE WRINKLED SKIN'],4.55e-05,1.2054186410079616e-07
30,118689,52,HP:0008070,"['HP:0004522', 'HP:0002291', 'HP:0004538', 'HP:0002237', 'UMLS:C1860844', 'UMLS:C1837770', 'HP:0008070']","['SPARSE HAIR', 'THIN, SPARSE HAIR']",0.000129066,1.6489709474480205e-06
31,82037,38,HP:0008551,"['HP:0000409', 'HP:0008618', 'HP:0008550', 'HP:0000393', 'HP:0008621', 'SNOMEDCT_US:35045004', 'UMLS:C0152423', 'MESH:D065817', 'HP:0008551']","['SMALL EARS', 'BILATERAL MICROTIA', 'UNDERDEVELOPED EARS', 'SMALL PINNAE', 'HYPOPLASTIC EARS', 'HYPOPLASIA OF THE EXTERNAL EAR', 'HYPOPLASTIC PINNA', 'MICROTIA']",9.96e-05,9.388256208880496e-07
32,47644,19,HP:0001000,"['HP:0007582', 'HP:0200045', 'UMLS:C1260926', 'HP:0001000']","['PIGMENTATION ANOMALY', 'ABNORMALITY OF SKIN PIGMENTATION', 'ABNORMAL SKIN PIGMENTATION', 'ABNORMAL PIGMENTATION', 'PIGMENTARY SKIN CHANGES', 'ABNORMALITY OF PIGMENTATION', 'PIGMENTARY CHANGES', 'ABNORMAL SKIN COLOR']",0.000159414,7.241577730078116e-07
33,122834,74,HP:0001510,"['HP:0008847', 'HP:0001434', 'HP:0008870', 'HP:0001517', 'HP:0008886', 'HP:0008926', 'HP:0001532', 'HP:0008893', 'HP:0001512', 'HP:0001514', 'SNOMEDCT_US:276617005', 'SNOMEDCT_US:59576002', 'UMLS:C0456070', 'UMLS:C1837385', 'UMLS:C0878787', 'SNOMEDCT_US:444896005', 'UMLS:C3552463', 'UMLS:C0151686', 'HP:0001510']","['RETARDED GROWTH', 'GROWTH FAILURE', 'POOR GROWTH', 'GROWTH DELAY', 'DELAYED GROWTH', 'GROWTH DEFICIENCY', 'GROWTH RETARDATION', 'VERY POOR GROWTH']",0.000176661,2.3930847986970502e-06
34,122151,92,HP:0001537,"['UMLS:C0019322', 'SNOMEDCT_US:396347007', 'HP:0001537']","['UMBILICAL HERNIAS', 'UMBILICAL HERNIA']",0.000180386,4.28872607124626e-06
35,52441,16,HP:0000413,"['HP:0008547', 'HP:0008626', 'HP:0008564', 'UMLS:C1866190', 'UMLS:C1840305', 'UMLS:C1398325', 'UMLS:C1857079', 'HP:0000413']","['ABSENT EAR CANAL', 'ABSENT AUDITORY CANALS', 'EXTERNAL ACOUSTIC MEATUS ATRESIA', 'ATRETIC EXTERNAL AUDITORY CANAL', 'ABSENT EXTERNAL AUDITORY CANALS', 'AUDITORY CANAL ATRESIA', 'ATRETIC AUDITORY CANAL', 'EXTERNAL AUDITORY MEATAL ATRESIA', 'EXTERNAL AUDITORY MEATUS ATRESIA', 'EXTERNAL AUDITORY CANAL ATRESIA', 'ATRETIC AUDITORY CANALS', 'ATRETIC EXTERNAL AUDITORY CANALS', 'ATRESIA OF THE EXTERNAL AUDITORY CANALS', 'ATRESIA OF THE EXTERNAL AUDITORY CANAL']",6.01e-05,2.533189502758652e-07
36,83574,114,HP:0000505,"['HP:0000516', 'HP:0007758', 'HP:0007983', 'HP:0000566', 'HP:0007860', 'MESH:D014786', 'SNOMEDCT_US:246635007', 'SNOMEDCT_US:7973008', 'MESH:D015354', 'UMLS:C3665347', 'UMLS:C0042798', 'SNOMEDCT_US:397540003', 'HP:0000505']","['IMPAIRED VISION', 'LOSS OF EYESIGHT', 'VISUAL IMPAIRMENT', 'POOR VISION']",0.000260274,5.679162535992119e-06
37,102517,9,HP:0010720,"['UMLS:C4023721', 'HP:0010720']","['ABNORMAL DISTRIBUTION OF HAIR', 'ABNORMAL HAIR PATTERN']",5.22e-05,1.0759684123224648e-07
38,60717,56,HP:0000327,"['HP:0004644', 'UMLS:C4280642', 'UMLS:C4082243', 'UMLS:C4280641', 'UMLS:C0240310', 'UMLS:C4280643', 'UMLS:C4280640', 'HP:0000327']","['SMALL MAXILLA', 'MAXILLARY HYPOPLASIA', 'UPPER JAW DEFICIENCY', 'DECREASED SIZE OF UPPER JAW', 'MAXILLARY RETRUSION', 'DECREASED SIZE OF MAXILLA', 'MAXILLARY DEFICIENCY', 'SMALL UPPER JAW', 'UPPER JAW RETRUSION', 'MAXILLARY MICROGNATHIA', 'MAXILLARY RETROGNATHIA', 'MICROMAXILLA', 'SMALL UPPER JAW BONES', 'HYPOPLASIA OF UPPER JAW BONES', 'HYPOPLASTIC MAXILLARY BONES', 'RETROGNATHIA OF UPPER JAW', 'HYPOTROPHIC MAXILLA', 'RETRUSION OF UPPER JAW BONES', 'HYPOTROPHIC UPPER JAW BONES', 'HYPOPLASIA OF THE MAXILLA']",0.000140603,1.8388998173957062e-06
39,87561,25,HP:0000062,"['HP:0008693', 'HP:0008685', 'SNOMEDCT_US:21321009', 'UMLS:C0266362', 'MESH:D012734', 'HP:0000062']","['INTERSEX GENITALIA', 'AMBIGUOUS EXTERNAL GENITALIA', 'AMBIGUOUS EXTERNAL GENITALIA AT BIRTH', 'AMBIGUOUS GENITALIA']",8.690000000000001e-05,5.260276257276426e-07
40,98888,2,HP:0011224,"['HP:0009925', 'SNOMEDCT_US:708541009', 'UMLS:C4020757', 'UMLS:C0266574', 'SNOMEDCT_US:13401001', 'HP:0011224']","['ABSENT EYELIDS', 'MISSING EYELIDS', 'AGENESIS OF EYELIDS', 'ABLEPHARON OF EYELID', 'APLASIA OF THE EYELIDS', 'ABLEPHARON']",1.57e-05,6.287063147514035e-09
41,85694,44,HP:0000963,"['HP:0001020', 'UMLS:C0423757', 'SNOMEDCT_US:277797007', 'HP:0000963']",['THIN SKIN'],9.31e-05,9.135038841153973e-07
42,120003,60,HP:0000154,"['HP:0002052', 'HP:0000181', 'MESH:D008265', 'SNOMEDCT_US:40159009', 'UMLS:C0024433', 'HP:0000154']","['LARGE MOUTH', 'MACROSTOMIA', 'BROAD MOUTH', 'WIDE MOUTH', 'LARGE ORAL APERTURE']",0.000112996,1.5787492945354916e-06
43,76866,9,HP:0003187,"['HP:0000784', 'SNOMEDCT_US:8915006', 'UMLS:C0266013', 'HP:0003187']","['UNDERDEVELOPED BREASTS', 'BREAST HYPOPLASIA']",3.9e-05,9.256672968180248e-08
44,76170,43,HP:0007957,"['HP:0007844', 'HP:0008502', 'HP:0007883', 'SNOMEDCT_US:95735008', 'SNOMEDCT_US:64634000', 'SNOMEDCT_US:413921009', 'UMLS:C0010038', 'UMLS:C0521719', 'MESH:D003318', 'HP:0007957']","['REDUCTION OF CORNEAL CLARITY', 'CORNEAL CLOUDING', 'SCARRING OR CLOUDING OF THE CORNEA OF THE EYE', 'CORNEAL OPACITIES', 'CORNEAL OPACITY']",0.000121703,1.2161328668240043e-06
45,120912,27,HP:0001582,"['HP:0007391', 'SNOMEDCT_US:201093004', 'UMLS:C0581342', 'HP:0001582']","['REDUNDANT SKIN FOLDS', 'SAGGING, REDUNDANT SKIN', 'LOOSE REDUNDANT SKIN', 'REDUNDANT SKIN']",7.36e-05,5.305148765400664e-07
46,107697,15,HP:0002223,"['UMLS:C4280582', 'UMLS:C0431448', 'SNOMEDCT_US:422441003', 'UMLS:C0578682', 'SNOMEDCT_US:253208007', 'UMLS:C4280581', 'HP:0002223']","['ABSENT EYEBROW', 'ABSENT EYEBROWS', 'FAILURE OF DEVELOPMENT OF EYEBROWS']",4.45e-05,1.4733900188904363e-07
47,108043,35,HP:0002213,"['HP:0200132', 'SNOMEDCT_US:247546006', 'UMLS:C0423867', 'HP:0002213']","['FINE HAIR TEXTURE', 'THIN HAIR SHAFT', 'FINE HAIR SHAFT', 'THIN HAIR TEXTURE', 'THINNED HAIR', 'FINE HAIR', 'THIN HAIR']",7.38e-05,5.850917776708314e-07
48,104954,115,HP:0000750,"['HP:0007127', 'HP:0007172', 'HP:0002399', 'HP:0002498', 'HP:0007170', 'HP:0007004', 'HP:0002116', 'HP:0002117', 'HP:0006936', 'HP:0002336', 'SNOMEDCT_US:162294008', 'UMLS:C0233715', 'SNOMEDCT_US:29164008', 'SNOMEDCT_US:62415009', 'MESH:D007805', 'UMLS:C0023012', 'UMLS:C0241210', 'UMLS:C0454644', 'SNOMEDCT_US:229721007', 'HP:0000750']","['IMPAIRED SPEECH DEVELOPMENT', 'LANGUAGE DELAYED', 'SPEECH DELAY', 'SPEECH AND LANGUAGE DELAY', 'LANGUAGE DEVELOPMENT DEFICIT', 'DELAYED SPEECH', 'LANGUAGE DELAY', 'SPEECH AND LANGUAGE DIFFICULTIES', 'DEFICIENCY OF SPEECH DEVELOPMENT', 'LATE-ONSET SPEECH DEVELOPMENT', 'DELAYED LANGUAGE DEVELOPMENT', 'DELAYED SPEECH ACQUISITION', 'IMPAIRED SPEECH AND LANGUAGE DEVELOPMENT', 'POOR LANGUAGE DEVELOPMENT', 'DELAYED SPEECH DEVELOPMENT', 'DELAYED SPEECH AND LANGUAGE DEVELOPMENT', 'SPEECH DIFFICULTIES', 'POOR SPEECH DEVELOPMENT', 'POOR SPEECH ACQUISITION']",0.00023125200000000001,4.717070793499501e-06
49,87780,8,HP:0000055,"['UMLS:C4021822', 'HP:0000055']","['ABNORMAL FEMALE EXTERNAL GENITALIA', 'ABNORMALITY OF FEMALE EXTERNAL GENITALIA']",7.28e-05,1.344408231172786e-07
50,91052,183,HP:0005280,"['HP:0005284', 'HP:0005119', 'HP:0000459', 'HP:0004666', 'HP:0004505', 'HP:0004413', 'HP:0000425', 'HP:0004506', 'HP:0000439', 'HP:0000428', 'UMLS:C3550546', 'UMLS:C1836542', 'UMLS:C4280495', 'HP:0005280']","['DEPRESSED NASAL ROOT', 'FLAT BRIDGE OF NOSE', 'DEPRESSED NASAL BRIDGE', 'RETRUDED BRIDGE OF NOSE', 'FLAT NASAL BRIDGE', 'LOW NASAL BRIDGE', 'DEPRESSED BRIDGE OF NOSE', 'FLATTENED NASAL BRIDGE', 'LOW NASAL ROOT', 'FLAT, NASAL BRIDGE', 'FLAT NASAL ROOT', 'RETRUDED NASAL BRIDGE', 'CONCAVE NASAL BRIDGE', 'DEPRESSED NASAL ROOT/BRIDGE', 'CONCAVE BRIDGE OF NOSE']",0.000333754,1.3915596012840059e-05
51,82386,129,HP:0000545,"['HP:0001110', 'HP:0008012', 'HP:0007847', 'MESH:D009216', 'SNOMEDCT_US:57190000', 'UMLS:C0027092', 'HP:0000545']","['NEARSIGHTEDNESS', 'CLOSE SIGHTED', 'NEAR SIGHTED', 'NEAR SIGHTEDNESS', 'MYOPIA']",0.000283263,7.818471558481355e-06
52,81895,19,HP:0000561,"['HP:0007926', 'HP:0004516', 'HP:0002288', 'HP:0004539', 'UMLS:C4280627', 'UMLS:C1843005', 'UMLS:C4280626', 'HP:0000561']","['ABSENT EYELASHES', 'FAILURE OF DEVELOPMENT OF EYELASHES', 'ATRICHIA OF EYELASHES']",8e-05,3.452301412652879e-07
53,66485,452,HP:0001263,"['HP:0007228', 'HP:0007174', 'HP:0001255', 'HP:0007106', 'HP:0007005', 'HP:0006885', 'HP:0001292', 'HP:0001277', 'HP:0002433', 'HP:0007224', 'HP:0000754', 'HP:0006793', 'HP:0002532', 'HP:0007342', 'HP:0002473', 'HP:0006935', 'HP:0007094', 'HP:0006867', 'UMLS:C1864897', 'UMLS:C0557874', 'SNOMEDCT_US:224958001', 'UMLS:C4020875', 'HP:0001263']","['RETARDED DEVELOPMENT', 'LACK OF PSYCHOMOTOR DEVELOPMENT', 'DELAYED PSYCHOMOTOR DEVELOPMENT', 'DEVELOPMENTAL DELAY', 'MOTOR AND DEVELOPMENTAL DELAY', 'PSYCHOMOTOR DEVELOPMENT DEFICIENCY', 'RETARDED MENTAL DEVELOPMENT', 'PSYCHOMOTOR DEVELOPMENT FAILURE', 'RETARDED PSYCHOMOTOR DEVELOPMENT', 'PSYCHOMOTOR DEVELOPMENTAL DELAY', 'DELAYED DEVELOPMENT', 'DELAYED COGNITIVE DEVELOPMENT', 'DELAYED MILESTONES', 'DEVELOPMENTAL DELAY, GLOBAL', 'DEVELOPMENTAL DELAY IN EARLY CHILDHOOD', 'DELAYED DEVELOPMENTAL MILESTONES', 'PSYCHOMOTOR DELAY', 'DEVELOPMENTAL RETARDATION', 'DELAYED INTELLECTUAL DEVELOPMENT', 'COGNITIVE DELAY', 'MENTAL AND MOTOR RETARDATION', 'GLOBAL DEVELOPMENTAL DELAY']",0.0008480839999999999,7.065659477954655e-05
54,122118,31,HP:0001539,"['SNOMEDCT_US:18735004', 'UMLS:C0795690', 'MESH:D006554', 'HP:0001539']","['OMPHALOCOELE', 'OMPHALOCELE']",6.670000000000001e-05,4.890382370635923e-07
55,109837,20,HP:0200020,"['UMLS:C0392163', 'SNOMEDCT_US:50792001', 'HP:0200020']","['DAMAGE TO OUTER LAYER OF THE CORNEA OF THE EYE', 'CORNEAL EROSION']",7.780000000000001e-05,3.0348992090940957e-07
56,101104,79,HP:0100490,"['HP:0005801', 'HP:0005821', 'HP:0006195', 'HP:0005713', 'HP:0006240', 'HP:0005651', 'HP:0009698', 'HP:0006218', 'HP:0005662', 'SNOMEDCT_US:202281000', 'UMLS:C0409348', 'HP:0100490']","['PERMANENT FLEXION OF THE FINGER', 'PROXIMAL INTERPHALANGEAL FINGER JOINT CONTRACTURES', 'CAMPTODACTYLY OF HANDS', 'CONTRACTURES OF THE PROXIMAL INTERPHALANGEAL JOINTS OF THE FINGERS', 'CAMPTODACTYLY OF PROXIMAL INTERPHALANGEAL JOINT', 'FLEXION CONTRACTURES OF PROXIMAL INTERPHALANGEAL JOINTS', 'CAMPTODACTYLY OF FINGER']",0.000205843,3.8059322940970555e-06
57,71508,49,HP:0000691,"['SNOMEDCT_US:32337007', 'UMLS:C4280611', 'UMLS:C0240340', 'UMLS:C4280612', 'HP:0000691']","['SMALL TEETH', 'DECREASED WIDTH OF TOOTH', 'MICRODONTIA']",0.00012561200000000002,1.4113794188724592e-06
58,111341,41,HP:0000233,"['HP:0000213', 'SNOMEDCT_US:301348000', 'UMLS:C0578038', 'HP:0000233']","['DECREASED VOLUME OF LIP', 'DECREASED VOLUME OF LIP VERMILLION', 'THIN VERMILLION', 'THIN LIPS', 'THIN VERMILION BORDERS', 'THIN VERMILION BORDER']",9.36e-05,9.5213590736814e-07
59,51784,34,HP:0000430,"['HP:0005276', 'HP:0004497', 'HP:0004507', 'HP:0005277', 'HP:0005286', 'UMLS:C1834055', 'HP:0000430']","['HYPOPLASTIC ALAE NASI', 'ALA NASI, UNDERDEVELOPED', 'HYPOPLASTIC ALAE NASAE', 'HYPOPLASTIC NASAL WINGS', 'NASAL CARTILAGE HYPOPLASIA', 'DECREASED SIZE OF NASAL ALAE', 'THIN HYPOPLASTIC ALAE NASI', 'HYPOPLASTIC ALAR CARTILAGE', 'HYPOPLASTIC NASAL ALAE', 'ALAR CARTILAGE HYPOPLASIA', 'HYPOPLASTIC NOSTRILS', 'SMALL NASAL ALAE', 'UNDERDEVELOPED TISSUE AROUND NOSTRIL', 'HYPOPLASTIC ALAR NASAE', 'HYPOPLASTIC NARES', 'UNDERDEVELOPED NASAL ALAE']",8.240000000000001e-05,6.165275591944988e-07
60,50805,126,HP:0000463,"['HP:0000427', 'HP:0000441', 'HP:0000435', 'SNOMEDCT_US:708670007', 'UMLS:C1840077', 'HP:0000463']","['ANTEVERTED NOSTRILS', 'UPTURNED NARES', 'NASAL TIP, UPTURNED', 'UPTURNED NASAL TIP', 'UPTURNED NOSTRILS', 'NOSTRILS ANTEVERTED', 'ANTEVERTED NOSE', 'UPTURNED NOSE', 'UPTURNED NASAL TIPS', 'ANTEVERTED NARES']",0.000248788,7.431061272699227e-06
61,76969,2,HP:0001126,"['HP:0008032', 'UMLS:C0311249', 'SNOMEDCT_US:400951005', 'HP:0001126']",CRYPTOPHTHALMOS,1.59e-05,8.331693807229237e-09
62,61145,47,HP:0001770,"['HP:0005677', 'HP:0001828', 'SNOMEDCT_US:32113001', 'UMLS:C0265660', 'HP:0001770']","['WEBBED TOES', 'FUSED TOES', 'FOOT SYNDACTYLY', 'SYNDACTYLY OF TOES', 'SYNDACTYLY OF FEET', 'TOE SYNDACTYLY']",0.00017831900000000003,2.1831107384136978e-06
63,94698,16,HP:0010669,"['UMLS:C4280369', 'UMLS:C4072879', 'UMLS:C4280370', 'UMLS:C4280368', 'UMLS:C4021242', 'HP:0010669']","['HYPOPLASIA OF CHEEKBONE', 'DECREASED SIZE OF ZYGOMATIC BONE', 'UNDERDEVELOPMENT OF CHEEKBONE', 'DECREASED SIZE OF CHEEKBONE', 'CHEEKBONE UNDERDEVELOPMENT', 'UNDERDEVELOPMENT OF ZYGOMATIC BONE', 'HYPOTROPHIC ZYGOMATIC BONE', 'HYPOTROPHY OF THE CHEEKBONE', 'HYPOTROPHY OF THE ZYGOMATIC BONE', 'HYPOTROPHIC CHEEKBONE', 'HYPOPLASIA OF THE ZYGOMATIC BONE']",5.01e-05,2.559698507707277e-07
