,d.id,n.N_Name,count(s)
26,86,"['CHUDLEY-MCCULLOUGH SYNDROME', 'DEAFNESS, SENSORINEURAL, WITH PARTIAL AGENESIS OF THE CORPUS CALLOSUM AND ARACHNOID CYSTS', 'DEAFNESS, BILATERAL SENSORINEURAL, AND HYDROCEPHALUS DUE TO FORAMEN OF MONRO OBSTRUCTION']",16
27,87,"['LENZ MICROPHTHALMIA SYNDROME', 'MICROPHTHALMIA SYNDROMIC 1', 'MCOPS1', 'LENZ DYSPLASIA', 'SYNDROMIC MICROPHTHALMIA TYPE 1', 'MAA (FORMERLY)', 'MICROPHTHALMIA OR ANOPHTHALMOS WITH ASSOCIATED ANOMALIES (FORMERLY)', 'MICROPHTHALMIA LENZ TYPE']",80
28,92,"['MELEDA DISEASE', 'KERATOSIS PALMOPLANTARIS TRANSGRADIENS OF SIEMENS', 'MDM', 'MAL DE MELEDA']",14
29,93,"['MONILETHRIX', 'NODOSE HAIR']",23
30,94,"['MUCOLIPIDOSIS TYPE 4', 'ML 4', 'BERMAN SYNDROME', 'GANGLIOSIDE NEURAMINIDASE DEFICIENCY', 'GANGLIOSIDE SIALIDASE DEFICIENCY', 'MUCOLIPIDOSIS TYPE IV']",42
31,95,"['MULIBREY NANISM', 'MUSCLE-LIVER-BRAIN-EYE NANISM', 'PERICARDIAL CONSTRICTION AND GROWTH FAILURE', 'PERHEENTUPA SYNDROME']",32
32,102,"['NEU LAXOVA SYNDROME', 'NLS', '3-PHOSPHOGLYCERATE DEHYDROGENASE DEFICIENCY, NEONATAL FORM', 'NEU-LAXOVA SYNDROME']",51
33,104,"['OCHOA SYNDROME', 'HYDRONEPHROSIS WITH PECULIAR FACIAL EXPRESSION', 'UROFACIAL SYNDROME', 'INVERTED SMILE AND OCCULT NEUROPATHIC BLADDER', 'PARTIAL FACIAL PALSY WITH URINARY ABNORMALITIES', ""UROFACIAL OCHOA'S SYNDROME"", 'UFS']",17
34,108,"['ADULT POLYGLUCOSAN BODY DISEASE', 'APBD', 'POLYGLUCOSAN BODY DISEASE, ADULT FORM', 'POLYGLUCOSAN BODY NEUROPATHY, ADULT FORM', 'APBN']",29
35,109,"['PROGRESSIVE OSSEOUS HETEROPLASIA', 'POH', 'FAMILIAL ECTOPIC OSSIFICATION', 'ECTOPIC OSSIFICATION FAMILIAL TYPE']",21
36,114,"['X-LINKED CHARCOT-MARIE-TOOTH DISEASE TYPE 5', 'CHARCOT-MARIE-TOOTH NEUROPATHY X TYPE 5', 'CMTX5', 'ROSENBERG-CHUTORIAN SYNDROME', 'OPTIC ATROPHY, POLYNEUROPATHY, AND DEAFNESS', 'OPTIC ATROPHY, SENSORINEURAL HEARING LOSS AND POLYNEUROPATHY', 'FAMILIAL OPTICOACOUSTIC NERVE DEGENERATION AND POLYNEUROPATHY']",18
37,116,"['SCHINDLER DISEASE TYPE 1', 'NEUROAXONAL DYSTROPHY, SCHINDLER TYPE', 'ALPHA-N-ACETYLGALACTOSAMINIDASE DEFICIENCY, TYPE 1', 'NAGA DEFICIENCY, TYPE 1', 'SCHINDLER DISEASE TYPE I']",33
38,117,"['SCHINZEL GIEDION SYNDROME', 'SCHINZEL GIEDION MIDFACE-RETRACTION SYNDROME', 'SGS', 'SCHINZEL-GIEDION SYNDROME']",61
39,118,"['ULNAR-MAMMARY SYNDROME', 'UMS', 'SCHINZEL SYNDROME', 'ULNAR-MAMMARY SYNDROME OF PALLISTER']",59
40,121,"['FACIAL ECTODERMAL DYSPLASIA', 'SETLEIS SYNDROME', 'BITEMPORAL FORCEPS MARKS SYNDROME', 'FOCAL FACIAL DERMAL DYSPLASIA TYPE 2', 'FFDD TYPE 2']",30
41,122,"['SINGLETON-MERTEN SYNDROME', 'MERTEN-SINGLETON SYNDROME', 'SM SYNDROME', 'WIDENED MEDULLARY CAVITIES OF BONE, AORTIC CALCIFICATION, ABNORMAL DENTITION, AND MUSCULAR WEAKNESS', 'SYNDROME OF WIDENED MEDULLARY CAVITIES OF THE METACARPALS AND PHALANGES, AORTIC CALCIFICATION AND ABNORMAL DENTITION', 'SINGLETON-MERTEN DYSPLASIA']",41
42,132,"['PRIMARY CUTANEOUS AMYLOIDOSIS', 'PRIMARY LOCALIZED CUTANEOUS AMYLOIDOSIS', 'PLCA', 'LICHEN AMYLOIDOSIS FAMILIAL', 'AMYLOIDOSIS FAMILIAL CUTANEOUS LICHEN', 'AMYLOIDOSIS 9', 'AMYLOIDOSIS IX']",11
43,134,"['SPONDYLOEPIMETAPHYSEAL DYSPLASIA STRUDWICK TYPE', 'DAPPLED METAPHYSIS SYNDROME', 'STRUDWICK SYNDROME', 'SMED STRUDWICK TYPE', 'SMED TYPE 1', 'SMD']",24
44,139,"['ATRIAL MYXOMA, FAMILIAL', 'INTRACARDIAC MYXOMA']",18
45,155,"['LAURIN-SANDROW SYNDROME', 'FIBULA ULNA DUPLICATION TIBIA RADIUS ABSENCE', 'SANDROW SYNDROME', 'MIRROR HANDS AND FEET WITH NASAL DEFECTS', 'TETRAMELIC MIRROR-IMAGE POLYDACTYLY', 'LAURIN SANDROW SYNDROME']",34
46,156,"['MUSCLE EYE BRAIN DISEASE', 'MEB', 'MUSCLE-EYE-BRAIN DISEASE', 'MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY CONGENITAL WITH BRAIN AND EYE ANOMALIES A3']",66
47,159,"['SCALP EAR NIPPLE SYNDROME', 'HEREDITARY SYNDROME OF LUMPY SCALP, ODD EARS AND RUDIMENTARY NIPPLES', 'SEN SYNDROME', 'FINLAY-MARKS SYNDROME', 'SCALP-EAR-NIPPLE SYNDROME']",50
48,166,SCHIZENCEPHALY,3
49,169,"['SCHNECKENBECKEN DYSPLASIA', 'CHONDRODYSPLASIA LETHAL NEONATAL WITH SNAIL LIKE PELVIS']",34
50,175,"['INFANTILE FREE SIALIC ACID STORAGE DISEASE', 'SIALURIA, INFANTILE FORM', 'INFANTILE SIALIC ACID STORAGE DISORDER', 'ISSD']",33
51,181,"['STARGARDT DISEASE', 'STARGARDT MACULAR DYSTROPHY', 'JUVENILE ONSET MACULAR DEGENERATION']",18
52,182,"['BEST VITELLIFORM MACULAR DYSTROPHY', 'BEST DISEASE', 'BEST MACULAR DYSTROPHY', 'MACULAR DEGENERATION, POLYMORPHIC VITELLINE', 'VITELLIFORM MACULAR DYSTROPHY TYPE 2', 'VMD2', 'BVMD', 'EARLY-ONSET VITELLIFORM MACULAR DYSTROPHY', 'JUVENILE-ONSET VITELLIFORM MACULAR DYSTROPHY', 'POLYMORPHIC VITELLINE MACULAR DEGENERATION']",11
53,193,"['OPITZ G/BBB SYNDROME', 'HYPOSPADIAS-DYSPHAGIA, SYNDROME', 'OPITZ-FRIAS SYNDROME', 'G SYNDROME', 'OPITZ-G SYNDROME, TYPE 2', 'HYPERTELORISM HYPOSPADIAS SYNDROME', 'HYPERTELORISM WITH ESOPHAGEAL ABNORMALITY AND HYPOSPADIAS', 'BBB SYNDROME', 'TELECANTHUS WITH ASSOCIATED ABNORMALITIES', 'OPITZ BBBG SYNDROME', 'GBBB SYNDROME']",66
54,195,"['HYPERKALEMIC PERIODIC PARALYSIS', 'HYPP', 'GAMSTORP DISEASE', 'GAMSTORP EPISODIC ADYNAMY', 'ADYNAMIA EPISODICA HEREDITARIA WITH OR WITHOUT MYOTONIA', 'SODIUM CHANNEL MUSCLE DISEASE']",32
55,198,"['SPINAL MUSCULAR ATROPHY TYPE 3', 'SMA3', 'MUSCULAR ATROPHY, JUVENILE', 'SMA 3', 'KUGELBERG-WELANDER SYNDROME', 'KWS', 'SPINAL MUSCULAR ATROPHY, MILD CHILDHOOD AND ADOLESCENT FORM']",12
56,218,"['ROTOR SYNDROME', 'HYPERBILIRUBINEMIA, ROTOR TYPE', 'ROTOR-TYPE HYPERBILIRUBINEMIA']",8
57,226,"['RABSON-MENDENHALL SYNDROME', 'PINEAL HYPERPLASIA, INSULIN-RESISTANT DIABETES MELLITUS, AND SOMATIC ABNORMALITIES', 'MENDENHALL SYNDROME', 'INSR-RELATED SEVERE SYNDROMIC INSULIN RESISTANCE']",37
58,231,"['LEUKOENCEPHALOPATHY WITH VANISHING WHITE MATTER', 'CHILDHOOD ATAXIA WITH DIFFUSE CENTRAL NERVOUS SYSTEM HYPOMYELINATION', 'CACH SYNDROME', 'CACH/VWM SYNDROME', 'MYELINOSIS CENTRALIS DIFFUSA', 'CREE LEUKOENCEHALOPATHY', 'CHILDHOOD ATAXIA WITH CENTRAL NERVOUS SYSTEM HYPOMYELINATION/VANISHING WHITE MATTER', 'CACH/VWM', 'VANISHING WHITE MATTER LEUKODYSTROPHY', 'VANISHING WHITE MATTER DISEASE']",29
59,234,"['D-GLYCERICACIDEMIA', 'D-GLYCERATE KINASE DEFICIENCY', 'NON KETOTIC HYPERGLYCINEMIA SYNDROME']",22
60,249,"['SCHAEFER STEIN OSHMAN SYNDROME', 'DOMINANTLY INHERITED CRANIODIAPHYSEAL DYSPLASIA', 'CRANIODIAPHYSEAL DYSPLASIA, DOMINANT']",25
61,250,"['SCHWARTZ JAMPEL SYNDROME', 'SCHWARTZ JAMPEL ABERFELD SYNDROME', 'MYOTONIC MYOPATHY DWARFISM CHONDRODYSTROPHY AND OCULAR AND FACIAL ABNORMALITIES', 'SJA SYNDROME', 'CHONDRODYSTROPHIC MYOTONIA', 'MYOTONIC CHONDRODYSTROPHY', 'MYOTONIC MYOPATHY, DWARFISM, CHONDRODYSTROPHY, OCULAR AND FACIAL ANOMALIES', 'ABERFELD SYNDROME', 'BURTON SKELETAL DYSPLASIA', 'BURTON SYNDROME', 'CATEL-HEMPEL SYNDROME', 'DYSOSTOSIS ENCHONDRALIS METAEPIPHYSARIA, CATEL-HEMPEL TYPE', 'OSTEOCHONDROMUSCULAR DYSTROPHY', 'SCHWARTZ-JAMPEL SYNDROME', 'SCHWARTZ-JAMPEL-ABERFELD SYNDROME', 'SJS', 'SJS1']",120
62,262,"['NEUROPATHY ATAXIA RETINITIS PIGMENTOSA SYNDROME', 'NARP SYNDROME', 'NARP']",31
63,264,"['LOWRY WOOD SYNDROME', 'EPIPHYSEAL DYSPLASIA, MICROCEPHALY AND NYSTAGMUS', 'LWS']",19
64,269,"['IVIC SYNDROME', 'INSTITUTO VENEZOLANO DE INVESTIGACIONES CIENTIFICAS SYNDROME', 'RADIAL RAY DEFECTS, HEARING IMPAIRMENT, EXTERNAL OPHTHALMOPLEGIA, AND THROMBOCYTOPENIA', 'OCULOOTORADIAL SYNDROME', 'OORS']",32
65,270,"['NICOLAIDES-BARAITSER SYNDROME', 'SPARSE HAIR AND MENTAL RETARDATION', 'NCBRS']",70
66,272,"['VACTERL HYDROCEPHALY', 'VERTEBRAL (V), ANAL (A), CARDIAC (C), TRACHEOESOPHAGEAL (TE), RENAL (R) AND LIMB (L) ANOMALIES AND HYDROCEPHALY', 'VACTERL ASSOCIATION WITH HYDROCEPHALY']",13
67,273,WRINKLY SKIN SYNDROME,77
68,282,"['RAINE SYNDROME', 'LETHAL OSTEOSCLEROTIC BONE DYSPLASIA', 'COMBINATION OF MICROCEPHALY, EXOPHTHALMOS, HYPOPLASTIC NOSE AND MIDFACE, GUM HYPERPLASIA, CLEFT PALATE, APPARENTLY LOW-SET EARS, AND OSTEOSCLEROSIS']",59
69,288,"['HALLERMANN-STREIFF SYNDROME', 'HALLERMANN STREIFF SYNDROME', 'HSS', 'HALLERMANN STREIFF FRANCOIS SYNDROME', 'FRANCOIS DYSCEPHALIC SYNDROME', 'FRANÇOIS DYSCEPHALIC SYNDROME', 'OCULOMANDIBULOFACIAL SYNDROME']",65
70,302,"['SEVERE CONGENITAL NEUTROPENIA AUTOSOMAL RECESSIVE 3', 'SCN3', 'KOSTMANN DISEASE', 'AGRANULOCYTOSIS INFANTILE']",8
71,304,"['BLAU SYNDROME', 'ARTHROCUTANEOUVEAL GRANULOMATOSIS', 'ACUG', 'GRANULOMATOSIS, FAMILIAL, BLAU TYPE', 'GRANULOMATOUS INFLAMMATORY ARTHRITIS, DERMATITIS, AND UVEITIS, FAMILIAL', 'SYNOVITIS GRANULOMATOUS WITH UVEITIS AND CRANIAL NEUROPATHIES', 'GRANULOMATOSIS, FAMILIAL JUVENILE SYSTEMIC', 'JABS SYNDROME']",55
72,306,"['CAMPTODACTYLY ARTHROPATHY COXA VARA PERICARDITIS SYNDROME', 'ARTHROPATHY CAMPTODACTYLY SYNDROME', 'PERICARDITIS ARTHROPATHY CAMPTODACTYLY SYNDROME', 'PAC SYNDROME', 'FIBROSING SEROSITIS, FAMILIAL', 'CAMPTODACTYLY ARTHROPATHY PERICARDITIS SYNDROME', 'CONGENITAL FAMILIAL HYPERTROPHIC SYNOVITIS', 'CAMPTODACTYLY-ARTHROPATHY-COXA VARA-PERICARDITIS SYNDROME', 'ARTHROPATHY-CAMPTODACTYLY SYNDROME', 'CACP SYNDROME', 'CAMPTODACTYLY-ARTHROPATHY-COXA-VARA-PERICARDITIS SYNDROME', 'JACOBS SYNDROME', 'PERICARDITIS-ARTHROPATHY-CAMPTODACTYLY SYNDROME']",11
73,307,"['JACOBSEN SYNDROME', 'JBS', 'CHROMOSOME 11Q DELETION SYNDROME', 'PARTIAL 11Q MONOSOMY SYNDROME']",74
74,310,"['ZUNICH NEUROECTODERMAL SYNDROME', 'CHIME SYNDROME']",43
75,312,"['ROBINOW SYNDROME', 'ROBINOW DWARFISM', 'FETAL FACE SYNDROME', 'ACRAL DYSOSTOSIS WITH FACIAL AND GENITAL ABNORMALITIES', 'COVESDEM SYNDROME (FORMERLY)', 'COSTOVERTEBRAL SEGMENTATION DEFECT WITH MESOMELIA (FORMERLY)', 'MESOMELIC DWARFISM-SMALL GENITALIA SYNDROME', 'ROBINOW-SILVERMAN-SMITH SYNDROME']",76
76,314,"['SACCHAROPINURIA', 'SACCHAROPINE DEHYDROGENASE DEFICIENCY']",7
77,321,"['SALCEDO SYNDROME', 'NAIL PATELLA LIKE RENAL DISEASE', 'GLOMERULAR BASEMENT MEMBRANE DISEASE, NAIL-PATELLA SYNDROME TYPE']",6
78,322,"['SENIOR LOKEN SYNDROME', 'SENIOR-LOKEN SYNDROME', 'RENAL DYSPLASIA RETINAL APLASIA', 'RENAL-RETINAL SYNDROME', 'JUVENILE NEPHRONOPHTHISIS WITH LEBER AMAUROSIS', 'LOKEN-SENIOR SYNDROME']",21
79,331,"['YUNIS-VARON SYNDROME', 'CLEIDOCRANIAL DYSPLASIA, MICROGNATHIA, ABSENT THUMBS, & DISTAL APHALANGIA', 'YUNIS-VARÓN SYNDROME', 'YUNIS VARON SYNDROME']",108
80,332,"['BEARE-STEVENSON CUTIS GYRATA SYNDROME', 'CUTIS GYRATA SYNDROME OF BEARE AND STEVENSON', 'BEARE STEVENSON SYNDROME', 'CUTIS GYRATA - ACANTHOSIS NIGRICANS - CRANIOSYNOSTOSIS', 'CUTIS GYRATA-ACANTHOSIS NIGRICANS-CRANIOSYNOSTOSIS SYNDROME']",50
81,333,"['LYMPHEDEMA-DISTICHIASIS SYNDROME', 'LYMPHEDEMA WITH DISTICHIASIS', 'HEREDITARY LYMPHEDEMA-DISTICHIASIS SYNDROME (SUBTYPE)']",33
82,334,"['DYSCHROMATOSIS SYMMETRICA HEREDITARIA 1', 'DYSCHROMATOSIS SYMMETRICA HEREDITARIA', 'DSH1', 'DSH', 'FAMILIAL RETICULATE ACROPIGMENTATION OF DOHI', 'RETICULATE ACROPIGMENTATION OF DOHI', 'SYMMETRIC DYSCHROMATOSIS OF THE EXTREMITIES']",7
83,336,"['SPASTIC PARAPLEGIA 23', 'SPG 23', 'SPASTIC PARAPLEGIA AND PIGMENTARY ABNORMALITIES', 'SPASTIC PARAPLEGIA VITILIGO PREMATURE GRAYING AND CHARACTERISTIC FACIES', 'LISON SYNDROME', 'AUTOSOMAL RECESSIVE SPASTIC PARAPLEGIA TYPE 23']",25
84,343,"['PONTOCEREBELLAR HYPOPLASIA TYPE 4', 'ENCEPHALOPATHY FATAL INFANTILE WITH OLIVOPONTOCEREBELLAR HYPOPLASIA']",18
85,346,"['HOYERAAL HREIDARSSON SYNDROME', 'CEREBELLAR HYPOPLASIA WITH PANCYTOPENIA', 'GROWTH RETARDATION PRENATAL WITH PROGRESSIVE PANCYTOPENIA AND CEREBELLAR HYPOPLASIA']",28
86,347,"['YORIFUJI OKUNO SYNDROME', 'CONGENITAL PANCREATIC HYPOPLASIA WITH DIABETES MELLITUS AND CONGENITAL HEART DISEASE', 'HEREDITARY PANCREATIC HYPOPLASIA, DIABETES MELLITUS AND CONGENITAL HEART DISEASE']",51
87,359,"['CRANIOECTODERMAL DYSPLASIA', 'LEVIN SYNDROME 1', 'SENSENBRENNER SYNDROME']",69
88,360,"['ABRUZZO-ERICKSON SYNDROME', 'CHARGE LIKE SYNDROME X-LINKED']",26
89,365,"['AROMATASE DEFICIENCY', 'CONGENITAL ESTROGEN DEFICIENCY']",28
90,368,"['LARYNGOONYCHOCUTANEOUS SYNDROME', 'LOCS', 'LOGIC SYNDROME', 'LARYNGO-ONYCHO-CUTANEOUS SYNDROME']",8
91,372,"['NEUROFIBROMATOSIS-NOONAN SYNDROME', 'NFNS', 'NOONAN NEUROFIBROMATOSIS SYNDROME', 'NEUROFIBROMATOSIS WITH NOONAN PHENOTYPE']",42
92,375,"['ZLOTOGORA SYNDROME', 'CLEFT LIP/PALATE-ECTODERMAL DYSPLASIA SYNDROME', 'ECTODERMAL DYSPLASIA, CLEFT LIP AND PALATE, MENTAL RETARDATION, AND SYNDACTYLY', 'ZLOTOGORA-OGUR SYNDROME', 'CLPED1', 'CLEFT LIP/PALATE-SYNDACTYLY-PILI TORTI', 'SYNDACTYLY-ECTODERMAL DYSPLASIA-CLEFT/LIP PALATE', 'ZLOTOGORA-ZILBERMAN-TENENBAUM SYNDROME', 'CLEFT LIP/PALATE-SYNDACTYLY-PILI TORTI SYNDROME']",37
93,376,"['ACHEIROPODY', 'ACHEIROPODIA', 'ACHP', 'ACHEIROPODY, BRAZILIAN TYPE']",18
94,380,"['KNOBLOCH SYNDROME', 'MYOPIA RETINAL DETACHMENT ENCEPHALOCELE', 'RETINAL DETACHMENT-OCCIPITAL ENCEPHALOCELE SYNDROME', 'KNOBLOCH-LAYER SYNDROME']",39
95,383,"['OSTEOPETROSIS AUTOSOMAL DOMINANT TYPE 2', 'OPTA2', 'AUTOSOMAL DOMINANT OSTEOPETROSIS TYPE 2', 'ALBERS-SCHÖNBERG OSTEOPETROSIS']",36
96,384,"['ADULT SYNDROME', 'ACRO-DERMATO-UNGUAL-LACRIMAL-TOOTH SYNDROME', 'ACRO DERMATO UNGUAL LACRIMAL TOOTH SYNDROME']",38
97,385,"['LABAND SYNDROME', 'ZIMMERMAN LABAND SYNDROME', 'ZLS', 'GINGIVAL FIBROMATOSIS, ABNORMAL FINGERS, FINGERNAILS, NOSE AND EARS, AND SPLENOMEGALY', 'FIBROMATOSIS GINGIVAL, HEPATOSPLENOMEGALY OTHER ANOMALIES']",37
98,386,"['TETRAAMELIA-MULTIPLE MALFORMATIONS SYNDROME', 'ZIMMER TAUB SOVA SYNDROME', 'ZIMMER PHOCOMELIA']",27
99,390,"['WORTH TYPE AUTOSOMAL DOMINANT OSTEOSCLEROSIS', 'OSTEOSCLEROSIS, AUTOSOMAL DOMINANT', 'ENDOSTEAL HYPEROSTOSIS, AUTOSOMAL DOMINANT', 'OSTEOSCLEROSIS, AUTOSOMAL DOMINANT, WORTH TYPE', 'WORTH SYNDROME', 'ENDOSTEAL HYPEROSTOSIS, WORTH TYPE', 'AUTOSOMAL DOMINANT OSTEOSCLEROSIS, WORTH TYPE', 'HYPEROSTOSIS CORTICALIS GENERALISATA, BENIGN FORM OF WORTH WITH TORUS PALATINUS']",22
100,399,"['46,XX TESTICULAR DISORDER OF SEX DEVELOPMENT', '46,XX TESTICULAR DSD', '46,XX GONADAL DYSGENESIS', 'XX MALE SYNDROME', '46, XX GONADAL SEX REVERSAL', 'XX SEX REVERSAL']",4
