HPO_ID,HP_Term,Frequency,GARD_IDS
HP:0000496,Abnormality of eye movement,Frequent (79-30%),GARD:0005774
HP:0000508,Ptosis,Frequent (79-30%),GARD:0005774
HP:0000639,Nystagmus,Frequent (79-30%),GARD:0005774
HP:0000651,Diplopia,Frequent (79-30%),GARD:0005774
HP:0000712,Emotional lability,Frequent (79-30%),GARD:0005774
HP:0000716,Depressivity,Frequent (79-30%),GARD:0005774
HP:0000975,Hyperhidrosis,Frequent (79-30%),GARD:0005774
HP:0001251,Ataxia,Frequent (79-30%),GARD:0005774
HP:0001260,Dysarthria,Frequent (79-30%),GARD:0005774
HP:0001288,Gait disturbance,Frequent (79-30%),GARD:0005774
HP:0001337,Tremor,Frequent (79-30%),GARD:0005774
HP:0001618,Dysphonia,Frequent (79-30%),GARD:0005774
HP:0002015,Dysphagia,Frequent (79-30%),GARD:0005774
HP:0002019,Constipation,Frequent (79-30%),GARD:0005774
HP:0002045,Hypothermia,Frequent (79-30%),GARD:0005774
HP:0002357,Dysphasia,Frequent (79-30%),GARD:0005774
HP:0002445,Tetraplegia,Frequent (79-30%),GARD:0005774
HP:0002514,Cerebral calcification,Frequent (79-30%),GARD:0005774
HP:0002615,Hypotension,Frequent (79-30%),GARD:0005774
HP:0002808,Kyphosis,Frequent (79-30%),GARD:0005774
HP:0010535,Sleep apnea,Frequent (79-30%),GARD:0005774
HP:0010628,Facial palsy,Frequent (79-30%),GARD:0005774
HP:0100247,Recurrent singultus,Frequent (79-30%),GARD:0005774
HP:0000218,High palate,Occasional (29-5%),GARD:0005774
HP:0000238,Hydrocephalus,Occasional (29-5%),GARD:0005774
HP:0000470,Short neck,Occasional (29-5%),GARD:0005774
HP:0000819,Diabetes mellitus,Occasional (29-5%),GARD:0005774
HP:0000821,Hypothyroidism,Occasional (29-5%),GARD:0005774
HP:0000822,Hypertension,Occasional (29-5%),GARD:0005774
HP:0000826,Precocious puberty,Occasional (29-5%),GARD:0005774
HP:0000938,Osteopenia,Occasional (29-5%),GARD:0005774
HP:0001252,Muscular hypotonia,Occasional (29-5%),GARD:0005774
HP:0001324,Muscle weakness,Occasional (29-5%),GARD:0005774
HP:0001645,Sudden cardiac death,Occasional (29-5%),GARD:0005774
HP:0002072,Chorea,Occasional (29-5%),GARD:0005774
HP:0002093,Respiratory insufficiency,Occasional (29-5%),GARD:0005774
HP:0002376,Developmental regression,Occasional (29-5%),GARD:0005774
HP:0002383,Encephalitis,Occasional (29-5%),GARD:0005774
HP:0002410,Aqueductal stenosis,Occasional (29-5%),GARD:0005774
HP:0002459,Dysautonomia,Occasional (29-5%),GARD:0005774
HP:0002607,Bowel incontinence,Occasional (29-5%),GARD:0005774
HP:0003307,Hyperlordosis,Occasional (29-5%),GARD:0005774
HP:0007481,Hyperpigmented nevi,Occasional (29-5%),GARD:0005774
HP:0100716,Self-injurious behavior,Occasional (29-5%),GARD:0005774
HP:0000158,Macroglossia,Very frequent (99-80%),GARD:0006968
HP:0000280,Coarse facial features,Very frequent (99-80%),GARD:0006968
HP:0000365,Hearing impairment,Very frequent (99-80%),GARD:0006968
HP:0000518,Cataract,Very frequent (99-80%),GARD:0006968
HP:0001249,Intellectual disability,Very frequent (99-80%),GARD:0006968
HP:0001263,Global developmental delay,Very frequent (99-80%),GARD:0006968
HP:0001744,Splenomegaly,Very frequent (99-80%),GARD:0006968
HP:0002240,Hepatomegaly,Very frequent (99-80%),GARD:0006968
HP:0002652,Skeletal dysplasia,Very frequent (99-80%),GARD:0006968
HP:0002750,Delayed skeletal maturation,Very frequent (99-80%),GARD:0006968
HP:0004493,Craniofacial hyperostosis,Very frequent (99-80%),GARD:0006968
HP:0005280,Depressed nasal bridge,Very frequent (99-80%),GARD:0006968
HP:0005978,Type II diabetes mellitus,Very frequent (99-80%),GARD:0006968
HP:0007957,Corneal opacity,Very frequent (99-80%),GARD:0006968
HP:0008821,Hypoplastic inferior ilia,Very frequent (99-80%),GARD:0006968
HP:0000023,Inguinal hernia,Frequent (79-30%),GARD:0006968
HP:0000189,Narrow palate,Frequent (79-30%),GARD:0006968
HP:0000212,Gingival overgrowth,Frequent (79-30%),GARD:0006968
HP:0000316,Hypertelorism,Frequent (79-30%),GARD:0006968
HP:0000336,Prominent supraorbital ridges,Frequent (79-30%),GARD:0006968
HP:0000389,Chronic otitis media,Frequent (79-30%),GARD:0006968
HP:0000400,Macrotia,Frequent (79-30%),GARD:0006968
HP:0000470,Short neck,Frequent (79-30%),GARD:0006968
HP:0000708,Behavioral abnormality,Frequent (79-30%),GARD:0006968
HP:0001252,Muscular hypotonia,Frequent (79-30%),GARD:0006968
HP:0001385,Hip dysplasia,Frequent (79-30%),GARD:0006968
HP:0002650,Scoliosis,Frequent (79-30%),GARD:0006968
HP:0002808,Kyphosis,Frequent (79-30%),GARD:0006968
HP:0006487,Bowing of the long bones,Frequent (79-30%),GARD:0006968
HP:0010807,Open bite,Frequent (79-30%),GARD:0006968
HP:0011039,Abnormality of the helix,Frequent (79-30%),GARD:0006968
HP:0011354,Generalized abnormality of skin,Frequent (79-30%),GARD:0006968
HP:0000256,Macrocephaly,Occasional (29-5%),GARD:0006968
HP:0000303,Mandibular prognathia,Occasional (29-5%),GARD:0006968
HP:0000687,Widely spaced teeth,Occasional (29-5%),GARD:0006968
HP:0000689,Dental malocclusion,Occasional (29-5%),GARD:0006968
HP:0000738,Hallucinations,Occasional (29-5%),GARD:0006968
HP:0001369,Arthritis,Occasional (29-5%),GARD:0006968
HP:0002205,Recurrent respiratory infections,Occasional (29-5%),GARD:0006968
HP:0002516,Increased intracranial pressure,Occasional (29-5%),GARD:0006968
HP:0010885,Aseptic necrosis,Occasional (29-5%),GARD:0006968
HP:0100240,Synostosis of joints,Occasional (29-5%),GARD:0006968
HP:0000023,Inguinal hernia,Occasional (29-5%),GARD:0005854
HP:0000053,Macroorchidism,Frequent (79-30%),GARD:0005854
HP:0000158,Macroglossia,Frequent (79-30%),GARD:0005854
HP:0000164,Abnormality of the dentition,Frequent (79-30%),GARD:0005854
HP:0000212,Gingival overgrowth,Very frequent (99-80%),GARD:0005854
HP:0000280,Coarse facial features,Frequent (79-30%),GARD:0005854
HP:0000303,Mandibular prognathia,Very frequent (99-80%),GARD:0005854
HP:0000316,Hypertelorism,Very frequent (99-80%),GARD:0005854
HP:0000389,Chronic otitis media,Occasional (29-5%),GARD:0005854
HP:0000431,Wide nasal bridge,Very frequent (99-80%),GARD:0005854
HP:0000670,Carious teeth,Frequent (79-30%),GARD:0005854
HP:0000708,Behavioral abnormality,Occasional (29-5%),GARD:0005854
HP:0000750,Delayed speech and language development,Very frequent (99-80%),GARD:0005854
HP:0000768,Pectus carinatum,Frequent (79-30%),GARD:0005854
HP:0001249,Intellectual disability,Very frequent (99-80%),GARD:0005854
HP:0001250,Seizures,Occasional (29-5%),GARD:0005854
HP:0001369,Arthritis,Occasional (29-5%),GARD:0005854
HP:0001387,Joint stiffness,Occasional (29-5%),GARD:0005854
HP:0001537,Umbilical hernia,Very frequent (99-80%),GARD:0005854
HP:0001744,Splenomegaly,Occasional (29-5%),GARD:0005854
HP:0001763,Pes planus,Occasional (29-5%),GARD:0005854
HP:0001999,Abnormal facial shape,Very frequent (99-80%),GARD:0005854
HP:0002024,Malabsorption,Occasional (29-5%),GARD:0005854
HP:0002167,Neurological speech impairment,Very frequent (99-80%),GARD:0005854
HP:0002205,Recurrent respiratory infections,Occasional (29-5%),GARD:0005854
HP:0002240,Hepatomegaly,Occasional (29-5%),GARD:0005854
HP:0002360,Sleep disturbance,Occasional (29-5%),GARD:0005854
HP:0002650,Scoliosis,Very frequent (99-80%),GARD:0005854
HP:0002684,Thickened calvaria,Frequent (79-30%),GARD:0005854
HP:0002750,Delayed skeletal maturation,Occasional (29-5%),GARD:0005854
HP:0002997,Abnormality of the ulna,Frequent (79-30%),GARD:0005854
HP:0003103,Abnormal cortical bone morphology,Frequent (79-30%),GARD:0005854
HP:0003196,Short nose,Very frequent (99-80%),GARD:0005854
HP:0003468,Abnormal vertebral morphology,Occasional (29-5%),GARD:0005854
HP:0004337,Abnormality of amino acid metabolism,Very frequent (99-80%),GARD:0005854
HP:0004568,Beaking of vertebral bodies,Occasional (29-5%),GARD:0005854
HP:0008430,Anterior beaking of lumbar vertebrae,Frequent (79-30%),GARD:0005854
HP:0008551,Microtia,Very frequent (99-80%),GARD:0005854
HP:0011276,Vascular skin abnormality,Occasional (29-5%),GARD:0005854
HP:0012068,Aspartylglucosaminuria,Very frequent (99-80%),GARD:0005854
HP:0012471,Thick vermilion border,Very frequent (99-80%),GARD:0005854
HP:0100660,Dyskinesia,Very frequent (99-80%),GARD:0005854
HP:0100729,Large face,Very frequent (99-80%),GARD:0005854
HP:0000238,Hydrocephalus,Frequent (79-30%),GARD:0005061
HP:0000252,Microcephaly,Occasional (29-5%),GARD:0005061
HP:0000256,Macrocephaly,Frequent (79-30%),GARD:0005061
HP:0000280,Coarse facial features,Frequent (79-30%),GARD:0005061
HP:0000319,Smooth philtrum,Frequent (79-30%),GARD:0005061
HP:0000407,Sensorineural hearing impairment,Frequent (79-30%),GARD:0005061
HP:0000463,Anteverted nares,Frequent (79-30%),GARD:0005061
HP:0000505,Visual impairment,Very frequent (99-80%),GARD:0005061
HP:0000518,Cataract,Frequent (79-30%),GARD:0005061
HP:0000574,Thick eyebrow,Frequent (79-30%),GARD:0005061
HP:0000648,Optic atrophy,Frequent (79-30%),GARD:0005061
HP:0001249,Intellectual disability,Very frequent (99-80%),GARD:0005061
HP:0001250,Seizures,Frequent (79-30%),GARD:0005061
HP:0001263,Global developmental delay,Very frequent (99-80%),GARD:0005061
HP:0001319,Neonatal hypotonia,Very frequent (99-80%),GARD:0005061
HP:0001387,Joint stiffness,Frequent (79-30%),GARD:0005061
HP:0001744,Splenomegaly,Very frequent (99-80%),GARD:0005061
HP:0002208,Coarse hair,Frequent (79-30%),GARD:0005061
HP:0002240,Hepatomegaly,Very frequent (99-80%),GARD:0005061
HP:0002376,Developmental regression,Very frequent (99-80%),GARD:0005061
HP:0003134,Abnormality of peripheral nerve conduction,Very frequent (99-80%),GARD:0005061
HP:0004322,Short stature,Frequent (79-30%),GARD:0005061
HP:0005280,Depressed nasal bridge,Frequent (79-30%),GARD:0005061
HP:0007307,Rapid neurologic deterioration,Very frequent (99-80%),GARD:0005061
HP:0007703,Abnormality of retinal pigmentation,Frequent (79-30%),GARD:0005061
HP:0007957,Corneal opacity,Frequent (79-30%),GARD:0005061
HP:0008064,Ichthyosis,Very frequent (99-80%),GARD:0005061
HP:0008155,Mucopolysacchariduria,Very frequent (99-80%),GARD:0005061
HP:0010059,Broad hallux phalanx,Frequent (79-30%),GARD:0005061
HP:0011304,Broad thumb,Frequent (79-30%),GARD:0005061
HP:0000365,Hearing impairment,Very frequent (99-80%),GARD:0000869
HP:0001249,Intellectual disability,Very frequent (99-80%),GARD:0000869
HP:0001250,Seizures,Very frequent (99-80%),GARD:0000869
HP:0001999,Abnormal facial shape,Very frequent (99-80%),GARD:0000869
HP:0002205,Recurrent respiratory infections,Very frequent (99-80%),GARD:0000869
HP:0005247,Hypoplasia of the abdominal wall musculature,Very frequent (99-80%),GARD:0000869
HP:0000256,Macrocephaly,Frequent (79-30%),GARD:0005984
HP:0000365,Hearing impairment,Frequent (79-30%),GARD:0005984
HP:0000505,Visual impairment,Frequent (79-30%),GARD:0005984
HP:0000618,Blindness,Frequent (79-30%),GARD:0005984
HP:0000648,Optic atrophy,Very frequent (99-80%),GARD:0005984
HP:0000649,Abnormality of visual evoked potentials,Frequent (79-30%),GARD:0005984
HP:0001250,Seizures,Occasional (29-5%),GARD:0005984
HP:0001252,Muscular hypotonia,Frequent (79-30%),GARD:0005984
HP:0001263,Global developmental delay,Very frequent (99-80%),GARD:0005984
HP:0001276,Hypertonia,Frequent (79-30%),GARD:0005984
HP:0001371,Flexion contracture,Occasional (29-5%),GARD:0005984
HP:0002020,Gastroesophageal reflux,Frequent (79-30%),GARD:0005984
HP:0002353,EEG abnormality,Very frequent (99-80%),GARD:0005984
HP:0002376,Developmental regression,Occasional (29-5%),GARD:0005984
HP:0004372,Reduced consciousness/confusion,Very frequent (99-80%),GARD:0005984
HP:0007703,Abnormality of retinal pigmentation,Occasional (29-5%),GARD:0005984
HP:0008872,Feeding difficulties in infancy,Very frequent (99-80%),GARD:0005984
HP:0100543,Cognitive impairment,Very frequent (99-80%),GARD:0005984
HP:0001250,Seizures,Frequent (79-30%),GARD:0000343
HP:0001276,Hypertonia,Frequent (79-30%),GARD:0000343
HP:0001336,Myoclonus,Frequent (79-30%),GARD:0000343
HP:0001561,Polyhydramnios,Frequent (79-30%),GARD:0000343
HP:0001999,Abnormal facial shape,Frequent (79-30%),GARD:0000343
HP:0002365,Hypoplasia of the brainstem,Frequent (79-30%),GARD:0000343
HP:0002804,Arthrogryposis multiplex congenita,Frequent (79-30%),GARD:0000343
HP:0002871,Central apnea,Frequent (79-30%),GARD:0000343
HP:0004887,Respiratory failure requiring assisted ventilation,Frequent (79-30%),GARD:0000343
HP:0006955,Olivopontocerebellar hypoplasia,Frequent (79-30%),GARD:0000343
HP:0011451,Congenital microcephaly,Frequent (79-30%),GARD:0000343
HP:0000340,Sloping forehead,Occasional (29-5%),GARD:0000343
HP:0000347,Micrognathia,Occasional (29-5%),GARD:0000343
HP:0011800,Midface retrusion,Occasional (29-5%),GARD:0000343
HP:0000093,Proteinuria,Very frequent (99-80%),GARD:0006236
HP:0000112,Nephropathy,Very frequent (99-80%),GARD:0006236
HP:0000124,Renal tubular dysfunction,Very frequent (99-80%),GARD:0006236
HP:0000613,Photophobia,Very frequent (99-80%),GARD:0006236
HP:0000733,Stereotypy,Very frequent (99-80%),GARD:0006236
HP:0000821,Hypothyroidism,Very frequent (99-80%),GARD:0006236
HP:0000823,Delayed puberty,Very frequent (99-80%),GARD:0006236
HP:0001324,Muscle weakness,Very frequent (99-80%),GARD:0006236
HP:0001508,Failure to thrive,Very frequent (99-80%),GARD:0006236
HP:0001944,Dehydration,Very frequent (99-80%),GARD:0006236
HP:0001959,Polydipsia,Very frequent (99-80%),GARD:0006236
HP:0002013,Vomiting,Very frequent (99-80%),GARD:0006236
HP:0002148,Hypophosphatemia,Very frequent (99-80%),GARD:0006236
HP:0002900,Hypokalemia,Very frequent (99-80%),GARD:0006236
HP:0003198,Myopathy,Very frequent (99-80%),GARD:0006236
HP:0003355,Aminoaciduria,Very frequent (99-80%),GARD:0006236
HP:0004322,Short stature,Very frequent (99-80%),GARD:0006236
HP:0007957,Corneal opacity,Very frequent (99-80%),GARD:0006236
HP:0009806,Nephrogenic diabetes insipidus,Very frequent (99-80%),GARD:0006236
HP:0012378,Fatigue,Very frequent (99-80%),GARD:0006236
HP:0100651,Type I diabetes mellitus,Very frequent (99-80%),GARD:0006236
HP:0000083,Renal insufficiency,Frequent (79-30%),GARD:0006236
HP:0000488,Retinopathy,Frequent (79-30%),GARD:0006236
HP:0002748,Rickets,Frequent (79-30%),GARD:0006236
HP:0000505,Visual impairment,Occasional (29-5%),GARD:0006236
HP:0001256,"Intellectual disability, mild",Occasional (29-5%),GARD:0006236
HP:0001288,Gait disturbance,Occasional (29-5%),GARD:0006236
HP:0001409,Portal hypertension,Occasional (29-5%),GARD:0006236
HP:0001945,Fever,Occasional (29-5%),GARD:0006236
HP:0002024,Malabsorption,Occasional (29-5%),GARD:0006236
HP:0002357,Dysphasia,Occasional (29-5%),GARD:0006236
HP:0006824,Cranial nerve paralysis,Occasional (29-5%),GARD:0006236
HP:0007256,Abnormal pyramidal sign,Occasional (29-5%),GARD:0006236
HP:0001369,Arthritis,Very frequent (99-80%),GARD:0006426
HP:0001371,Flexion contracture,Very frequent (99-80%),GARD:0006426
HP:0001386,Joint swelling,Very frequent (99-80%),GARD:0006426
HP:0001609,Hoarse voice,Very frequent (99-80%),GARD:0006426
HP:0007470,Periarticular subcutaneous nodules,Very frequent (99-80%),GARD:0006426
HP:0012379,Abnormal enzyme/coenzyme activity,Very frequent (99-80%),GARD:0006426
HP:0000707,Abnormality of the nervous system,Frequent (79-30%),GARD:0006426
HP:0000708,Behavioral abnormality,Frequent (79-30%),GARD:0006426
HP:0001249,Intellectual disability,Frequent (79-30%),GARD:0006426
HP:0001263,Global developmental delay,Frequent (79-30%),GARD:0006426
HP:0001508,Failure to thrive,Frequent (79-30%),GARD:0006426
HP:0001615,Hoarse cry,Frequent (79-30%),GARD:0006426
HP:0002086,Abnormality of the respiratory system,Frequent (79-30%),GARD:0006426
HP:0002829,Arthralgia,Frequent (79-30%),GARD:0006426
HP:0003444,EMG: chronic denervation signs,Frequent (79-30%),GARD:0006426
HP:0003640,Foam cells in visceral organs and CNS,Frequent (79-30%),GARD:0006426
HP:0008947,Infantile muscular hypotonia,Frequent (79-30%),GARD:0006426
HP:0010729,Cherry red spot of the macula,Frequent (79-30%),GARD:0006426
HP:0011842,Abnormality of skeletal morphology,Frequent (79-30%),GARD:0006426
HP:0000502,Abnormal conjunctiva morphology,Occasional (29-5%),GARD:0006426
HP:0000608,Macular degeneration,Occasional (29-5%),GARD:0006426
HP:0000766,Abnormality of the sternum,Occasional (29-5%),GARD:0006426
HP:0000939,Osteoporosis,Occasional (29-5%),GARD:0006426
HP:0001155,Abnormality of the hand,Occasional (29-5%),GARD:0006426
HP:0001250,Seizures,Occasional (29-5%),GARD:0006426
HP:0001257,Spasticity,Occasional (29-5%),GARD:0006426
HP:0001336,Myoclonus,Occasional (29-5%),GARD:0006426
HP:0001433,Hepatosplenomegaly,Occasional (29-5%),GARD:0006426
HP:0001612,Weak cry,Occasional (29-5%),GARD:0006426
HP:0001618,Dysphonia,Occasional (29-5%),GARD:0006426
HP:0001760,Abnormality of the foot,Occasional (29-5%),GARD:0006426
HP:0001954,Episodic fever,Occasional (29-5%),GARD:0006426
HP:0002093,Respiratory insufficiency,Occasional (29-5%),GARD:0006426
HP:0002098,Respiratory distress,Occasional (29-5%),GARD:0006426
HP:0002207,Diffuse reticular or finely nodular infiltrations,Occasional (29-5%),GARD:0006426
HP:0002300,Mutism,Occasional (29-5%),GARD:0006426
HP:0002376,Developmental regression,Occasional (29-5%),GARD:0006426
HP:0002788,Recurrent upper respiratory tract infections,Occasional (29-5%),GARD:0006426
HP:0002815,Abnormality of the knee,Occasional (29-5%),GARD:0006426
HP:0003019,Abnormality of the wrist,Occasional (29-5%),GARD:0006426
HP:0003202,Skeletal muscle atrophy,Occasional (29-5%),GARD:0006426
HP:0004322,Short stature,Occasional (29-5%),GARD:0006426
HP:0005483,Abnormal epiglottis morphology,Occasional (29-5%),GARD:0006426
HP:0006511,Laryngeal stridor,Occasional (29-5%),GARD:0006426
HP:0007957,Corneal opacity,Occasional (29-5%),GARD:0006426
HP:0009811,Abnormality of the elbow,Occasional (29-5%),GARD:0006426
HP:0011968,Feeding difficulties,Occasional (29-5%),GARD:0006426
HP:0012444,Brain atrophy,Occasional (29-5%),GARD:0006426
HP:0025392,Nodular pattern on pulmonary HRCT,Occasional (29-5%),GARD:0006426
HP:0025405,Visual fixation instability,Occasional (29-5%),GARD:0006426
HP:0025423,Abnormal larynx morphology,Occasional (29-5%),GARD:0006426
HP:0100750,Atelectasis,Occasional (29-5%),GARD:0006426
HP:0000639,Nystagmus,Very rare (<4-1%),GARD:0006426
HP:0001395,Hepatic fibrosis,Very rare (<4-1%),GARD:0006426
HP:0001399,Hepatic failure,Very rare (<4-1%),GARD:0006426
HP:0001541,Ascites,Very rare (<4-1%),GARD:0006426
HP:0001686,Loss of voice,Very rare (<4-1%),GARD:0006426
HP:0001789,Hydrops fetalis,Very rare (<4-1%),GARD:0006426
HP:0001831,Short toe,Very rare (<4-1%),GARD:0006426
HP:0001873,Thrombocytopenia,Very rare (<4-1%),GARD:0006426
HP:0001903,Anemia,Very rare (<4-1%),GARD:0006426
HP:0001999,Abnormal facial shape,Very rare (<4-1%),GARD:0006426
HP:0002028,Chronic diarrhea,Very rare (<4-1%),GARD:0006426
HP:0002385,Paraparesis,Very rare (<4-1%),GARD:0006426
HP:0002716,Lymphadenopathy,Very rare (<4-1%),GARD:0006426
HP:0002910,Elevated hepatic transaminase,Very rare (<4-1%),GARD:0006426
HP:0006575,Intrahepatic cholestasis with episodic jaundice,Very rare (<4-1%),GARD:0006426
HP:0007759,Opacification of the corneal stroma,Very rare (<4-1%),GARD:0006426
HP:0009381,Short finger,Very rare (<4-1%),GARD:0006426
HP:0012469,Infantile spasms,Very rare (<4-1%),GARD:0006426
HP:0000164,Abnormality of the dentition,Occasional (29-5%),GARD:0006473
HP:0000248,Brachycephaly,Very frequent (99-80%),GARD:0006473
HP:0000280,Coarse facial features,Very frequent (99-80%),GARD:0006473
HP:0000365,Hearing impairment,Very frequent (99-80%),GARD:0006473
HP:0000821,Hypothyroidism,Very frequent (99-80%),GARD:0006473
HP:0000943,Dysostosis multiplex,Very frequent (99-80%),GARD:0006473
HP:0000975,Hyperhidrosis,Very frequent (99-80%),GARD:0006473
HP:0001063,Acrocyanosis,Occasional (29-5%),GARD:0006473
HP:0001250,Seizures,Frequent (79-30%),GARD:0006473
HP:0001252,Muscular hypotonia,Frequent (79-30%),GARD:0006473
HP:0001257,Spasticity,Frequent (79-30%),GARD:0006473
HP:0001263,Global developmental delay,Very frequent (99-80%),GARD:0006473
HP:0001508,Failure to thrive,Very frequent (99-80%),GARD:0006473
HP:0001597,Abnormality of the nail,Occasional (29-5%),GARD:0006473
HP:0001626,Abnormality of the cardiovascular system,Frequent (79-30%),GARD:0006473
HP:0001640,Cardiomegaly,Occasional (29-5%),GARD:0006473
HP:0001999,Abnormal facial shape,Very frequent (99-80%),GARD:0006473
HP:0002240,Hepatomegaly,Very frequent (99-80%),GARD:0006473
HP:0002510,Spastic tetraplegia,Frequent (79-30%),GARD:0006473
HP:0002808,Kyphosis,Very frequent (99-80%),GARD:0006473
HP:0003199,Decreased muscle mass,Frequent (79-30%),GARD:0006473
HP:0005264,Abnormality of the gallbladder,Frequent (79-30%),GARD:0006473
HP:0005595,Generalized hyperkeratosis,Very frequent (99-80%),GARD:0006473
HP:0007256,Abnormal pyramidal sign,Occasional (29-5%),GARD:0006473
HP:0007957,Corneal opacity,Frequent (79-30%),GARD:0006473
HP:0008155,Mucopolysacchariduria,Very frequent (99-80%),GARD:0006473
HP:0008430,Anterior beaking of lumbar vertebrae,Very frequent (99-80%),GARD:0006473
HP:0010864,"Intellectual disability, severe",Very frequent (99-80%),GARD:0006473
HP:0011220,Prominent forehead,Very frequent (99-80%),GARD:0006473
HP:0011276,Vascular skin abnormality,Frequent (79-30%),GARD:0006473
HP:0100578,Lipoatrophy,Very frequent (99-80%),GARD:0006473
HP:0001876,Pancytopenia,Very frequent (99-80%),GARD:0007337
HP:0001878,Hemolytic anemia,Very frequent (99-80%),GARD:0007337
HP:0012378,Fatigue,Very frequent (99-80%),GARD:0007337
HP:0001907,Thromboembolism,Frequent (79-30%),GARD:0007337
HP:0005528,Bone marrow hypocellularity,Frequent (79-30%),GARD:0007337
HP:0100724,Hypercoagulability,Frequent (79-30%),GARD:0007337
HP:0000980,Pallor,Occasional (29-5%),GARD:0007337
HP:0001324,Muscle weakness,Occasional (29-5%),GARD:0007337
HP:0001658,Myocardial infarction,Occasional (29-5%),GARD:0007337
HP:0001681,Angina pectoris,Occasional (29-5%),GARD:0007337
HP:0001892,Abnormal bleeding,Occasional (29-5%),GARD:0007337
HP:0001908,Hypoplastic anemia,Occasional (29-5%),GARD:0007337
HP:0001915,Aplastic anemia,Occasional (29-5%),GARD:0007337
HP:0001977,Abnormal thrombosis,Occasional (29-5%),GARD:0007337
HP:0002015,Dysphagia,Occasional (29-5%),GARD:0007337
HP:0002027,Abdominal pain,Occasional (29-5%),GARD:0007337
HP:0002092,Pulmonary arterial hypertension,Occasional (29-5%),GARD:0007337
HP:0002204,Pulmonary embolism,Occasional (29-5%),GARD:0007337
HP:0002326,Transient ischemic attack,Occasional (29-5%),GARD:0007337
HP:0002863,Myelodysplasia,Occasional (29-5%),GARD:0007337
HP:0003641,Hemoglobinuria,Occasional (29-5%),GARD:0007337
HP:0012211,Abnormal renal physiology,Occasional (29-5%),GARD:0007337
HP:0012492,Cerebral artery stenosis,Occasional (29-5%),GARD:0007337
HP:0004808,Acute myeloid leukemia,Very rare (<4-1%),GARD:0007337
HP:0000194,Open mouth,Frequent (79-30%),GARD:0011963
HP:0000268,Dolichocephaly,Frequent (79-30%),GARD:0011963
HP:0000289,Broad philtrum,Frequent (79-30%),GARD:0011963
HP:0000322,Short philtrum,Frequent (79-30%),GARD:0011963
HP:0000338,Hypomimic face,Frequent (79-30%),GARD:0011963
HP:0000341,Narrow forehead,Frequent (79-30%),GARD:0011963
HP:0000347,Micrognathia,Frequent (79-30%),GARD:0011963
HP:0000411,Protruding ear,Frequent (79-30%),GARD:0011963
HP:0000446,Narrow nasal bridge,Frequent (79-30%),GARD:0011963
HP:0000455,Broad nasal tip,Frequent (79-30%),GARD:0011963
HP:0000752,Hyperactivity,Frequent (79-30%),GARD:0011963
HP:0000960,Sacral dimple,Frequent (79-30%),GARD:0011963
HP:0001263,Global developmental delay,Frequent (79-30%),GARD:0011963
HP:0001290,Generalized hypotonia,Frequent (79-30%),GARD:0011963
HP:0001319,Neonatal hypotonia,Frequent (79-30%),GARD:0011963
HP:0001618,Dysphonia,Frequent (79-30%),GARD:0011963
